row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộng,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộng
,,,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Triệu VND,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,57.936.910,-,-,57.936.910,57936910.0,,,57936910.0
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,337.913.158,-,6.200.000,344.113.158,337913158.0,,6200000.0,344113158.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,308.584.476,-,-,308.584.476,308584476.0,,,308584476.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,29.328.682,-,6.200.000,35.528.682,29328682.0,,6200000.0,35528682.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.222.324.576,8.618.549,27.462.045,1.258.405.170,1222324576.0,8618549.0,27462045.0,1258405170.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,145.713.476,-,178.751,145.892.227,145713476.0,,178751.0,145892227.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,67.882.480,-,-,67.882.480,67882480.0,,,67882480.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,77.830.996,-,178.751,78.009.747,77830996.0,,178751.0,78009747.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,27.845.387,-,-,27.845.387,27845387.0,,,27845387.0
,,,1.791.733.507,8.618.549,33.840.796,1.834.192.852,1791733507.0,8618549.0,33840796.0,1834192852.0
