row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5
,,,,Trên3 tháng,Đến 3tháng,Đến 1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,-,14.456.730,-,-,-,-,14.456.730,,,,14456730.0,,,,,14456730.0
II,II,II,Tiền gửi tại NHNNVN,-,-,57.936.910,-,-,-,-,57.936.910,,,,57936910.0,,,,,57936910.0
III,III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,316.117.997,14.879.251,13.115.910,-,-,344.113.158,,,,316117997.0,14879251.0,13115910.0,,,344113158.0
VI,VI,VI,Cho vay khách hàng – gộp,6.185.722,16.268.731,97.873.727,266.919.227,467.287.804,177.799.079,226.070.880,1.258.405.170,,6185722.0,16268731.0,97873727.0,266919227.0,467287804.0,177799079.0,226070880.0,1258405170.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,968.152,5.035.655,42.000.972,63.619.430,34.268.018,145.892.227,,,,968152.0,5035655.0,42000972.0,63619430.0,34268018.0,145892227.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,6.681.190,6.681.190,,,,,,,,6681190.0,6681190.0
IX,IX,IX,Tài sản cố định,-,-,-,-,-,-,7.502.948,7.502.948,,,,,,,,7502948.0,7502948.0
X,X,X,Tài sản Có khác – gộp,-,-,6.446.204,21.853.101,4.473.368,2.352.195,339.282,35.464.150,,,,6446204.0,21853101.0,4473368.0,2352195.0,339282.0,35464150.0
,,,Tổng tài sản,6.185.722,16.268.731,493.799.720,308.687.234,526.878.054,243.770.704,274.862.318,1.870.452.483,,6185722.0,16268731.0,493799720.0,308687234.0,526878054.0,243770704.0,274862318.0,1870452483.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNNVNvà tiền gửi và vay các TCTD khác,-,-,205.282.069,3.001.763,941.842,640.449,615.068,210.481.191,,,,205282069.0,3001763.0,941842.0,640449.0,615068.0,210481191.0
II,II,II,Tiền gửi của khách hàng,-,-,778.759.759,207.329.384,408.760.229,6.750.024,-,1.401.599.396,,,,778759759.0,207329384.0,408760229.0,6750024.0,,1401599396.0
III,III,III,Các công cụ tài chính phải sinh và cáckhoản nợ tài chính khác,-,-,-,117.752,-,-,-,117.752,,,,,117752.0,,,,117752.0
IV,IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro",-,-,-,-,365,-,-,365,,,,,,365.0,,,365.0
V,V,V,Phát hành giấy tờ có giá,-,-,907,-,9.488.750,300.000,10.304.123,20.093.780,,,,907.0,,9488750.0,300000.0,10304123.0,20093780.0
VI,VI,VI,Các khoản nợ phải trả khác,-,-,6.207.641,23.094.577,11.257.933,556.155,156.834,41.273.140,,,,6207641.0,23094577.0,11257933.0,556155.0,156834.0,41273140.0
,,,Tổng nợ phải trả,-,-,990.250.376,233.543.476,430.449.119,8.246.628,11.076.025,1.673.565.624,,,,990250376.0,233543476.0,430449119.0,8246628.0,11076025.0,1673565624.0
,,,Mức chênh thanh khoản ròng,6.185.722,16.268.731,(496.450.656),75.143.758,96.428.935,235.524.076,263.786.293,196.886.859,,6185722.0,16268731.0,-496450656.0,75143758.0,96428935.0,235524076.0,263786293.0,196886859.0
