row_label_raw,row_label_full,(a),"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả_1","Các khoản lãi, phí phải trả_2","numeric__Các khoản lãi, phí phải trả","numeric__Các khoản lãi, phí phải trả_1","numeric__Các khoản lãi, phí phải trả_2"
(a),(a),(a),,31/12/2023Triệu VND,31/12/2022Triệu VND,,,
(a),(a) > (a),(a),Lãi tiền gửi của khách hàng,18.778.224,11.799.752,,18778224.0,11799752.0
(a),(a) > (a),(a),Lãi tiền gửi và vay các TCTD khác,61.001,113.377,,61001.0,113377.0
(a),(a) > (a),(a),Lãi phải trả phát hành giấy tờ có giá,252.284,242.877,,252284.0,242877.0
(a),(a) > (a),(a),Lãi phải trả cho các công cụ tài chính phải sinh,422.467,311.143,,422467.0,311143.0
(a),(a) > (a),(a),,19.513.976,12.467.149,,19513976.0,12467149.0
(b),(b),(b),Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,,,
(b),(b),(b),,31/12/2023Triệu VND,31/12/2022Triệu VND,,,
(b),(b) > (b),(b),Các khoản phải trả nội bộ (i),4.449.755,24.302.888,,4449755.0,24302888.0
(b),(b) > (b),(b),Các khoản phải trả bên ngoài (ii),12.458.150,65.242.341,,12458150.0,65242341.0
(b),(b) > (b),(b),"Quỹ khen thưởng, phúc lợi",4.851.259,4.093.014,,4851259.0,4093014.0
(b),(b) > (b),(b),,21.759.164,93.638.243,,21759164.0,93638243.0
