row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2023Triệu VND,31/12/2022Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2023Triệu VND,numeric__31/12/2022Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,14.456.730,18.310.646,,4.0,14456730.0,18310646.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNNVN”),5,57.936.910,92.451.066,,5.0,57936910.0,92451066.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,338.404.183,315.838.424,,6.0,338404183.0,315838424.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,308.584.476,281.713.759,,,308584476.0,281713759.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,35.528.682,44.964.665,,,35528682.0,44964665.0
3,A > 3,3,Dự phòng rủi ro,,(5.708.975),(10.840.000),,,-5708975.0,-10840000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,-,-,,7.0,,
1,1,1,Chứng khoán kinh doanh,,-,-,,,,
2,2,2,Dự phòng giảm giá chứng khoán kinh doanh,,-,-,,,,
V,2 > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,18,-,156.515,,18.0,,156515.0
VI,2 > VI,VI,Cho vay khách hàng,,1.229.876.148,1.111.524.064,,,1229876148.0,1111524064.0
1,2 > 1,1,Cho vay khách hàng,8,1.258.405.170,1.136.203.902,,8.0,1258405170.0,1136203902.0
2,2 > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(28.529.022),(24.679.838),,9.0,-28529022.0,-24679838.0
VIII,2 > VIII,VIII,Chứng khoán đầu tư,10,145.780.067,196.000.627,,10.0,145780067.0,196000627.0
1,2 > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,67.882.480,100.667.447,,,67882480.0,100667447.0
2,2 > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,78.009.747,95.415.013,,,78009747.0,95415013.0
3,2 > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(112.160),(81.833),,,-112160.0,-81833.0
IX,2 > IX,IX,"Góp vốn, đầu tư dài hạn",,6.538.765,6.563.191,,,6538765.0,6563191.0
1,2 > 1,1,Đầu tư vào công ty con,11(a),4.595.420,4.595.420,,,4595420.0,4595420.0
2,2 > 2,2,Vốn góp liên doanh,11(b),545.515,545.515,,,545515.0,545515.0
3,2 > 3,3,Đầu tư vào công ty liên kết,11(c),11.110,11.110,,,11110.0,11110.0
4,2 > 4,4,Đầu tư dài hạn khác,11(d),1.529.145,1.529.145,,,1529145.0,1529145.0
5,2 > 5,5,Dự phòng giảm giá đầu tư dài hạn,11(e),(142.425),(117.999),,,-142425.0,-117999.0
X,2 > X,X,Tài sản cố định,,7.502.948,7.774.214,,,7502948.0,7774214.0
1,2 > 1,1,Tài sản cố định hữu hình,12,4.949.137,4.979.561,,12.0,4949137.0,4979561.0
a,2 > a,a,Nguyên giá tài sản cố định,,13.704.688,12.976.162,,,13704688.0,12976162.0
b,2 > b,b,Khấu hao tài sản cố định,,(8.755.551),(7.996.601),,,-8755551.0,-7996601.0
3,2 > 3,3,Tài sản cố định vô hình,13,2.553.811,2.794.653,,13.0,2553811.0,2794653.0
a,2 > a,a,Nguyên giá tài sản cố định,,4.811.835,4.719.202,,,4811835.0,4719202.0
b,2 > b,b,Hao mòn tài sản cố định,,(2.258.024),(1.924.549),,,-2258024.0,-1924549.0
XII,2 > XII,XII,Tài sản Có khác,,35.463.741,59.588.764,,,35463741.0,59588764.0
1,2 > 1,1,Các khoản phải thu,14(a),16.912.568,23.355.542,,,16912568.0,23355542.0
2,2 > 2,2,"Các khoản lãi, phí phải thu",14(b),8.966.670,9.082.140,,,8966670.0,9082140.0
3,2 > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,14(c),845.881,949.616,,,845881.0,949616.0
4,2 > 4,4,Tài sản Có khác,14(d),8.739.031,26.201.466,,,8739031.0,26201466.0
5,2 > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,14(d),(409),-,,,-409.0,
,,,TỔNG TÀI SẢN CÓ,,1.835.959.492,1.808.207.511,,,1835959492.0,1808207511.0
