row_label_raw,row_label_full,col_0,col_1,Miền Bắc (*),Miền Trung và Tây Nguyên,Miền Nam,Loại trừ,Tổng cộng,numeric__col_1,numeric__Miền Bắc (*),numeric__Miền Trung và Tây Nguyên,numeric__Miền Nam,numeric__Loại trừ,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,147.481.738,25.825.781,76.846.068,(143.327.950),106.825.637,,147481738.0,25825781.0,76846068.0,-143327950.0,106825637.0
2,2,2,Chi phí lãi và các chi phí tương tự,(128.272.146),(17.631.695),(51.658.826),143.327.950,(54.234.717),,-128272146.0,-17631695.0,-51658826.0,143327950.0,-54234717.0
I,I,I,Thu nhập lãi thuần,19.209.592,8.194.086,25.187.242,-,52.590.920,,19209592.0,8194086.0,25187242.0,,52590920.0
3,3,3,Thu nhập từ hoạt động dịch vụ,8.067.384,762.007,3.304.488,-,12.133.879,,8067384.0,762007.0,3304488.0,,12133879.0
4,4,4,Chi phí hoạt động dịch vụ,(6.560.483),(40.698),(97.624),-,(6.698.805),,-6560483.0,-40698.0,-97624.0,,-6698805.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,1.506.901,721.309,3.206.864,-,5.435.074,,1506901.0,721309.0,3206864.0,,5435074.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,3.527.529,255.809,1.848.812,-,5.632.150,,3527529.0,255809.0,1848812.0,,5632150.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,52.553,-,-,-,52.553,,52553.0,,,,52553.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,-,-,-,-,-,,,,,,
5,V > 5,5,Thu nhập từ hoạt động khác,2.694.241,481.363,827.625,-,4.003.229,,2694241.0,481363.0,827625.0,,4003229.0
6,V > 6,6,Chi phí hoạt động khác,(1.247.796),(115.302),(377.831),-,(1.740.929),,-1247796.0,-115302.0,-377831.0,,-1740929.0
VI,V > VI,VI,Lãi thuần từ hoạt động khác,1.446.445,366.061,449.794,-,2.262.300,,1446445.0,366061.0,449794.0,,2262300.0
VII,V > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",371.776,-,-,-,371.776,,371776.0,,,,371776.0
,,,Tổng thu nhập hoạt động,26.114.796,9.537.265,30.692.712,-,66.344.773,,26114796.0,9537265.0,30692712.0,,66344773.0
VIII,V > VIII,VIII,Chi phí hoạt động,(12.228.479),(2.462.351),(6.721.773),-,(21.412.603),,-12228479.0,-2462351.0,-6721773.0,,-21412603.0
IX,V > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,13.886.317,7.074.914,23.970.939,-,44.932.170,,13886317.0,7074914.0,23970939.0,,44932170.0
X,V > X,X,(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,3.809.947,(4.214.605),(4.071.342),-,(4.476.000),,3809947.0,-4214605.0,-4071342.0,,-4476000.0
XI,V > XI,XI,Tổng lợi nhuận trước thuế,17.696.264,2.860.309,19.899.597,-,40.456.170,,17696264.0,2860309.0,19899597.0,,40456170.0
7,V > 7,7,Chi phí thuế TNDN hiện hành,(3.362.376),(572.062),(3.979.919),-,(7.914.357),,-3362376.0,-572062.0,-3979919.0,,-7914357.0
8,V > 8,8,Chi phí thuế TNDN hoãn lại,(103.735),-,-,-,(103.735),,-103735.0,,,,-103735.0
XII,V > XII,XII,Chi phí thuế TNDN,(3.466.111),(572.062),(3.979.919),-,(8.018.092),,-3466111.0,-572062.0,-3979919.0,,-8018092.0
XIII,V > XIII,XIII,Lợi nhuận sau thuế,14.230.153,2.288.247,15.919.678,-,32.438.078,,14230153.0,2288247.0,15919678.0,,32438078.0
