row_label_raw,row_label_full,col_0,Vốn điều lệ,Thăng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Vốn điều lệ,Thăng dư vốn cổ phần,Vốn khác,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Tổng cộng,Lợi nhuận chưa phân phối,Tổng cộng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,47.325.166,4.995.389,412,7.433.673,14.783.583,22.217.256,58.920.755,133.458.978,47325166.0,4995389.0,412.0,7433673.0,14783583.0,22217256.0,58920755.0,133458978.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,32.438.078,32.438.078,,,,,,,32438078.0,32438078.0
Phát hành cổ phiếu thường tăng vốn trong năm,Phát hành cổ phiếu thường tăng vốn trong năm,Phát hành cổ phiếu thường tăng vốn trong năm,8.565.747,-,-,-,-,-,(8.565.747),-,8565747.0,,,,,,-8565747.0,
Tạm trích các quỹ DTBB trong năm 2023 của Ngân hàng,Tạm trích các quỹ DTBB trong năm 2023 của Ngân hàng,Tạm trích các quỹ DTBB trong năm 2023 của Ngân hàng,-,-,-,1.621.904,3.243.808,4.865.712,(4.865.712),-,,,,1621904.0,3243808.0,4865712.0,-4865712.0,
"Tạm trích quỹ khen thường, phúc lợi (“KTPL”) trong năm 2023","Tạm trích quỹ khen thường, phúc lợi (“KTPL”) trong năm 2023","Tạm trích quỹ khen thường, phúc lợi (“KTPL”) trong năm 2023",-,-,-,-,-,-,(2.563.140),(2.563.140),,,,,,,-2563140.0,-2563140.0
Điều chỉnh trích lập các quỹ DTBB và KTPL theo Nghị quyết HĐQT của Ngân hàng,Điều chỉnh trích lập các quỹ DTBB và KTPL theo Nghị quyết HĐQT của Ngân hàng,Điều chỉnh trích lập các quỹ DTBB và KTPL theo Nghị quyết HĐQT của Ngân hàng,-,-,-,154,308,462,(955.224),(954.762),,,,154.0,308.0,462.0,-955224.0,-954762.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(891),(891),-,(891),,,,,-891.0,-891.0,,-891.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,15.605,15.605,,,,,,,15605.0,15605.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,55.890.913,4.995.389,412,9.055.731,18.026.808,27.082.539,74.424.615,162.393.868,55890913.0,4995389.0,412.0,9055731.0,18026808.0,27082539.0,74424615.0,162393868.0
