row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022: > Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngành kinh doanh > Ngân hàng,"Tỷ lệ vốn góp(%) > 4,50%",Giá gốcTriệu VND > 319.908,numeric__Ngành kinh doanh > Ngân hàng,"numeric__Tỷ lệ vốn góp(%) > 4,50%",numeric__Giá gốcTriệu VND > 319.908
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"4,35%",802.269,,0.0435,802269.0
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,"8,03%",67.900,,0.0803,67900.0
Công ty Cổ phần Thông tin tín dụng,Công ty Cổ phần Thông tin tín dụng,Công ty Cổ phần Thông tin tín dụng,Dịch vụ thông tin tín dụng,"6,64%",7.962,,0.0664,7962.0
Việt Nam,Việt Nam,Việt Nam,,,,,,
Tổng Công ty Phát triển Hạ tầng và Đầu tư,Tổng Công ty Phát triển Hạ tầng và Đầu tư,Tổng Công ty Phát triển Hạ tầng và Đầu tư,Đầu tư,,,,,
Tải chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư > Tải chính Việt Nam,Tải chính Việt Nam,đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư > Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,"Dịch vụ thể, thanh toán","1,83%",4.400,,0.0183,4400.0
Tổng Công ty Hàng không Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư > Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Hàng không,"0,67%",248.770,,0.0067,248770.0
"SWIFT, MASTER và VISA","Tổng Công ty Phát triển Hạ tầng và Đầu tư > SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","Dịch vụ thể, thanh toán","0,00%",2.936,,0.0,2936.0
,,,,,1.529.145,,,1529145.0
Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 11(e)),Tổng Công ty Phát triển Hạ tầng và Đầu tư > Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 11(e)),Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 11(e)),Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 11(e)),Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 11(e)),(117.999),,,-117999.0
,,,,,1.411.146,,,1411146.0
