row_label_raw,row_label_full,"Tổng số cán bộ, công nhân viên tại ngày 31 tháng 12 (người)",2023 > 22.742,2022 > 21.865,numeric__2023 > 22.742,numeric__2022 > 21.865
"Thu nhập của cán bộ, công nhân viên","Thu nhập của cán bộ, công nhân viên","Thu nhập của cán bộ, công nhân viên",,,,
Tổng quỹ lương và phụ cấp (Triệu VND) (Thuyết minh 31),"Thu nhập của cán bộ, công nhân viên > Tổng quỹ lương và phụ cấp (Triệu VND) (Thuyết minh 31)",Tổng quỹ lương và phụ cấp (Triệu VND) (Thuyết minh 31),10.276.601,9.371.184,10276601.0,9371184.0
Thu nhập bình quân tháng/người (Triệu VND),"Thu nhập của cán bộ, công nhân viên > Thu nhập bình quân tháng/người (Triệu VND)",Thu nhập bình quân tháng/người (Triệu VND),"37,66","35,72",37.66,35.72
