row_label_raw,row_label_full,STT,Chỉ tiêu,2023Triệu VND,2022Triệu VND,numeric__Chỉ tiêu,numeric__2023Triệu VND,numeric__2022Triệu VND
,,,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(951.153),(678.089),,-951153.0,-678089.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",4.821,8.014,,4821.0,8014.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(6.770),(4.808),,-6770.0,-4808.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",-,(1.034.820),,,-1034820.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",-,201.899,,,201899.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",245.294,153.113,,245294.0,153113.0
10,10,10,Tiền thu từ cổ tức đã có quyết định từ năm trước,23.847,-,,23847.0,
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(683.961),(1.354.691),,-683961.0,-1354691.0
,,,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
04,04,04,"Cổ tức đã trả cho cổ đông, lợi nhuận đã chia",-,(3.329.224),,,-3329224.0
III,III,III,Lưu chuyển tiền thuần cho hoạt động tài chính,-,(3.329.224),,,-3329224.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,(39.703.147),179.634.691,,-39703147.0,179634691.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,412.477.703,232.843.012,,412477703.0,232843012.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm (Thuyết minh 34),372.774.556,412.477.703,,372774556.0,412477703.0
