row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền đầnTriệu VND",Tài sâncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền đầnTriệu VND",numeric__Tài sâncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.586.519,4.539.385,1.224.328,1.625.930,12.976.162,5586519.0,4539385.0,1224328.0,1625930.0,12976162.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,36.723,338.998,373.089,143.023,891.833,36723.0,338998.0,373089.0,143023.0,891833.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,36.723,338.998,373.089,108.640,857.450,36723.0,338998.0,373089.0,108640.0,857450.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,-,-,34.383,34.383,,,,34383.0,34383.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(47.093),(69.930),(28.696),(17.588),(163.307),-47093.0,-69930.0,-28696.0,-17588.0,-163307.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(16.392),(65.734),(16.426),(17.588),(116.140),-16392.0,-65734.0,-16426.0,-17588.0,-116140.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(30.701),(4.196),(12.270),-,(47.167),-30701.0,-4196.0,-12270.0,,-47167.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.576.149,4.808.453,1.568.721,1.751.365,13.704.688,5576149.0,4808453.0,1568721.0,1751365.0,13704688.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.629.000,4.117.805,880.207,1.369.589,7.996.601,1629000.0,4117805.0,880207.0,1369589.0,7996601.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,232.713,352.521,99.087,181.692,866.013,232713.0,352521.0,99087.0,181692.0,866013.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,231.550,352.521,99.087,180.504,863.662,231550.0,352521.0,99087.0,180504.0,863662.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,1.163,-,-,1.188,2.351,1163.0,,,1188.0,2351.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(5.790),(67.416),(16.426),(17.431),(107.063),-5790.0,-67416.0,-16426.0,-17431.0,-107063.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.790),(65.734),(16.426),(17.431),(105.381),-5790.0,-65734.0,-16426.0,-17431.0,-105381.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(1.682),-,-,(1.682),,-1682.0,,,-1682.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.855.923,4.402.910,962.868,1.533.850,8.755.551,1855923.0,4402910.0,962868.0,1533850.0,8755551.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.957.519,421.580,344.121,256.341,4.979.561,3957519.0,421580.0,344121.0,256341.0,4979561.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.720.226,405.543,605.853,217.515,4.949.137,3720226.0,405543.0,605853.0,217515.0,4949137.0
