row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Bản quyền và bằng sáng chế Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Bản quyền và bằng sáng chế Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.477.163,2.226.826,15.213,4.719.202,2477163.0,2226826.0,15213.0,4719202.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,91,93.703,-,93.794,91.0,93703.0,,93794.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,-,93.703,-,93.703,,93703.0,,93703.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,91,-,-,91,91.0,,,91.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(1.161),-,(1.161),,-1161.0,,-1161.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(1.161),-,(1.161),,-1161.0,,-1161.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.477.254,2.319.368,15.213,4.811.835,2477254.0,2319368.0,15213.0,4811835.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,117.253,1.807.296,-,1.924.549,117253.0,1807296.0,,1924549.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,14.043,319.618,-,333.661,14043.0,319618.0,,333661.0
- Hao mòn,Hao mòn lũy kế > - Hao mòn,- Hao mòn,14.043,319.618,-,333.661,14043.0,319618.0,,333661.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(186),-,(186),,-186.0,,-186.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(186),-,(186),,-186.0,,-186.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,131.296,2.126.728,-,2.258.024,131296.0,2126728.0,,2258024.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.359.910,419.530,15.213,2.794.653,2359910.0,419530.0,15213.0,2794653.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.345.958,192.640,15.213,2.553.811,2345958.0,192640.0,15213.0,2553811.0
