row_label_raw,row_label_full,1,Bảo lãnh vay vốn,col_2,306.384,2.151.637,numeric__Bảo lãnh vay vốn,numeric__col_2,numeric__306.384,numeric__2.151.637
2,2,2,Cam kết giao dịch hồi đoái,,111.435.962,83.320.732,,,111435962.0,83320732.0
2,2,2,Cam kết mua ngoại tệ,,3.375.603,1.027.038,,,3375603.0,1027038.0
2,2,2,Cam kết bán ngoại tệ,,3.798.668,1.028.925,,,3798668.0,1028925.0
2,2,2,Cam kết giao dịch hoán đổi,,104.261.691,81.264.769,,,104261691.0,81264769.0
4,4,4,Cam kết trong nghiệp vụ thư tín dụng,,76.546.157,84.726.842,,,76546157.0,84726842.0
5,5,5,Bảo lãnh khác,,53.726.138,48.474.833,,,53726138.0,48474833.0
6,6,6,Các cam kết khác,,41.375.948,35.604.961,,,41375948.0,35604961.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,44,2.384.701,1.260.754,,44.0,2384701.0,1260754.0
8,8,8,Nợ khó đòi đã xử lý,45,67.581.815,59.948.269,,45.0,67581815.0,59948269.0
9,9,9,Tài sản và chứng từ khác,46,574.978.552,521.008.120,,46.0,574978552.0,521008120.0
