row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Công ty Hà ĐôThuận Nam,Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Công ty con,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Phải thu cung cấp dịch vụ xây lắp > Phải thu phí quản lý,Ngày 31 tháng12 năm 2023 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > - > 2.438.242.464,Đơn vị tính: VNDNgày 31 tháng12 năm 2022 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 8.280.905.359 > 2.488.011.041,numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Công ty con,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Phải thu cung cấp dịch vụ xây lắp > Phải thu phí quản lý,numeric__Ngày 31 tháng12 năm 2023 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > - > 2.438.242.464,numeric__Đơn vị tính: VNDNgày 31 tháng12 năm 2022 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 8.280.905.359 > 2.488.011.041
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải thu phí tư vấn,-,670.268.520,,,,670268520.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Phải thu phí quản lý,5.245.055.854,5.245.055.854,,,5245055854.0,5245055854.0
Công ty Quốc tế Hà Đỏ,Công ty Quốc tế Hà Đỏ,Công ty Quốc tế Hà Đỏ,Công ty con,Phải thu phí quản lý,5.447.390.528,5.447.390.528,,,5447390528.0,5447390528.0
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải thu phí quản lý,1.738.488.313,2.098.296.241,,,1738488313.0,2098296241.0
Công ty Hà Đỏ Bình Thuận,Công ty Hà Đỏ Bình Thuận,Công ty Hà Đỏ Bình Thuận,Công ty con,Phải thu phí quản lý,2.064.484.073,4.204.089.533,,,2064484073.0,4204089533.0
Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty con,Phải thu phí quản lý,5.753.518.045,5.643.697.746,,,5753518045.0,5643697746.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu cung cấp dịch vụ xây lắp,-,1.908.857.808,,,,1908857808.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu phí tư vấn,2.018.649.507,1.915.602.837,,,2018649507.0,1915602837.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,Công ty con,Phải thu phí quản lý,1.351.314.573,1.571.610.876,,,1351314573.0,1571610876.0
Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Chủ tịch HĐQT,Phải thu tiền mua bất động sản,643.142.000,-,,,643142000.0,
Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Phó Tổng Giám đốc,Phải thu tiền mua bất động sản,468.623.000,468.623.000,,,468623000.0,468623000.0
Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Người có mối quan hệ gia đình mặt thiết với thành viên HĐQT,Phải thu chuyển nhượng BĐS,617.896.000,-,,,617896000.0,
Các cá nhân khác,Các cá nhân khác,Các cá nhân khác,Người liên quan nội bộ,Phải thu tiền mua bất động sản,1.307.026.000,718.108.000,,,1307026000.0,718108000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,29.093.830.357,40.660.517.343,,,29093830357.0,40660517343.0
