row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị có thể thu hồi
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,62.755.574.348,(62.755.574.348),-,62.755.574.348,(62.755.574.348),-,62755574348.0,-62755574348.0,,62755574348.0,-62755574348.0,
Công ty TNHH Nam Việt,Công ty TNHH Nam Việt,Công ty TNHH Nam Việt,3.356.516.900,(3.356.516.900),-,3.356.516.900,(3.356.516.900),-,3356516900.0,-3356516900.0,,3356516900.0,-3356516900.0,
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,11.470.965.367,(11.470.965.367),-,15.479.921.170,(15.479.921.170),-,11470965367.0,-11470965367.0,,15479921170.0,-15479921170.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,77.583.056.615,(77.583.056.615),-,81.592.012.418,(81.592.012.418),-,77583056615.0,-77583056615.0,,81592012418.0,-81592012418.0,
11. HÀNG TỔN KHO,11. HÀNG TỔN KHO,11. HÀNG TỔN KHO,11. HÀNG TỔN KHO,11. HÀNG TỔN KHO,11. HÀNG TỔN KHO,11. HÀNG TỔN KHO,11. HÀNG TỔN KHO,11. HÀNG TỔN KHO,,,,,,
,,,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,,,
Bất động sản xây dựng để bán,11. HÀNG TỔN KHO > Bất động sản xây dựng để bán,Bất động sản xây dựng để bán,Bất động sản xây dựng để bán,Bất động sản xây dựng để bán,652.562.297.364,10.224.200.764,713.030.988.608,10.224.200.764,,,652562297364.0,10224200764.0,713030988608.0,10224200764.0
- Dự án An Khánh - An Thượng,11. HÀNG TỔN KHO > - Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,478.686.200.672,10.224.200.764,534.431.456.256,10.224.200.764,,,478686200672.0,10224200764.0,534431456256.0,10224200764.0
- Khu Biệt thực Sự Vạn Hạnh,11. HÀNG TỔN KHO > - Khu Biệt thực Sự Vạn Hạnh,- Khu Biệt thực Sự Vạn Hạnh,- Khu Biệt thực Sự Vạn Hạnh,- Khu Biệt thực Sự Vạn Hạnh,73.404.835.159,-,73.375.657.589,-,,,73404835159.0,,73375657589.0,
- Dự án chung cư CC1 Dịch Vọng,11. HÀNG TỔN KHO > - Dự án chung cư CC1 Dịch Vọng,- Dự án chung cư CC1 Dịch Vọng,- Dự án chung cư CC1 Dịch Vọng,- Dự án chung cư CC1 Dịch Vọng,41.481.993.854,-,41.481.993.854,-,,,41481993854.0,,41481993854.0,
- Dự án Tòa nhà Hỗn Hợp khu BTM Dịch Vọng,11. HÀNG TỔN KHO > - Dự án Tòa nhà Hỗn Hợp khu BTM Dịch Vọng,- Dự án Tòa nhà Hỗn Hợp khu BTM Dịch Vọng,- Dự án Tòa nhà Hỗn Hợp khu BTM Dịch Vọng,- Dự án Tòa nhà Hỗn Hợp khu BTM Dịch Vọng,33.598.477.911,-,32.210.209.700,-,,,33598477911.0,,32210209700.0,
- Dự án CC3 Dịch Vọng,11. HÀNG TỔN KHO > - Dự án CC3 Dịch Vọng,- Dự án CC3 Dịch Vọng,- Dự án CC3 Dịch Vọng,- Dự án CC3 Dịch Vọng,17.450.123.327,-,17.254.023.606,-,,,17450123327.0,,17254023606.0,
- Các dự án khác,11. HÀNG TỔN KHO > - Các dự án khác,- Các dự án khác,- Các dự án khác,- Các dự án khác,7.940.666.441,-,14.277.647.603,-,,,7940666441.0,,14277647603.0,
Chi phí sản xuất kinh doanh dở dang,11. HÀNG TỔN KHO > Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,20.714.575.697,-,246.781.348.893,-,,,20714575697.0,,246781348893.0,
Nguyên vật liệu,11. HÀNG TỔN KHO > Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,473.422.427,-,400.199.896,-,,,473422427.0,,400199896.0,
TỔNG CỘNG,11. HÀNG TỔN KHO > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,673.750.295.488,10.224.200.764,960.212.537.397,10.224.200.764,,,673750295488.0,10224200764.0,960212537397.0,10224200764.0
