row_label_raw,row_label_full,Bên liên quan > Công ty Thiết bị Giáo dục 1 Trong đó:Vay dài hạn đến hạn trả,Mối quan hệ > Công ty con,Số dư vay VND > 316.000.000.000,"Lãi suất %/năm > 6,2%/năm",Ngày đáo hạn > Từ ngày 28 tháng 10 năm 2024 đến ngày 22 tháng 3 năm 2025,Hình thức đảm bảo > Tín chấp,numeric__Mối quan hệ > Công ty con,numeric__Số dư vay VND > 316.000.000.000,"numeric__Lãi suất %/năm > 6,2%/năm",numeric__Ngày đáo hạn > Từ ngày 28 tháng 10 năm 2024 đến ngày 22 tháng 3 năm 2025,numeric__Hình thức đảm bảo > Tín chấp
Công ty Thiết bị Giáo dục 1 Trong đó:Vay dài hạn đến hạn trả,Công ty Thiết bị Giáo dục 1 Trong đó:Vay dài hạn đến hạn trả,Công ty Thiết bị Giáo dục 1 Trong đó:Vay dài hạn đến hạn trả,Công ty con,262.000.000.000,,,,,262000000000.0,,,
Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty con,262.000.000.000,"5,8 – 6,2%/năm",Từ ngày 27 tháng 1 năm 2024 đến ngày 23 tháng 12 năm 2025,Tín chấp,,262000000000.0,,,
Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty con,175.000.000.000,,,,,175000000000.0,,,
Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty con,320.000.000.000,"5,8 – 6,2%/năm",Từ ngày 18 tháng 4 năm 2024 đến ngày 24 tháng 3 năm 2025,Tín chấp,,320000000000.0,,,
Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty con,230.000.000.000,,,,,230000000000.0,,,
Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty con,119.000.000.000,"6,2%/năm",Ngày 17 tháng 1 năm 2025,Tín chấp,,119000000000.0,,,
Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty con,48.000.000.000,"5,8 – 6,2%/năm",Từ ngày 28 tháng 10 năm 2024 đến ngày 25 tháng 7 năm 2025,Tín chấp,,48000000000.0,,,
Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty Agrita – Quảng NamCông ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty con,5.000.000.000,,,,,5000000000.0,,,
Bà Bùi Thị Bé,Bà Bùi Thị Bé,Bà Bùi Thị Bé,Người có mối quan hệ gia đình mật thiết với thành viên BGĐ,3.464.023.000,4%/năm,Gốc đáo hạn ngày 29 tháng 12 năm 2026. Lãi trả tại ngày đáo hạn,Tín chấp,,3464023000.0,,,
Bà Bùi Thị Bé,Bà Bùi Thị Bé,Bà Bùi Thị Bé,Người có mối quan hệ gia đình mật thiết với thành viên BGĐ,,,,,,,,,
Bà Bùi Thị Bé,Bà Bùi Thị Bé > Bà Bùi Thị Bé,Bà Bùi Thị Bé,Người có mối quan hệ gia đình mật thiết với thành viên BGĐ,1.068.464.023.000,,,,,1068464023000.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Bà Bùi Thị Bé > Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,,396.464.023.000,,,,,396464023000.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Bà Bùi Thị Bé > Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,,672.000.000.000,,,,,672000000000.0,,,
