row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Nguyễn Trọng Thông,Tên > Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Chủ tịch,2.150.000.000,1.860.000.000,,2150000000.0,1860000000.0
Ông Nguyễn Văn Tô,Tên > Ông Nguyễn Văn Tô,Ông Nguyễn Văn Tô,Ủy viên HĐQT,730.000.000,615.000.000,,730000000.0,615000000.0
Ông Nguyễn Trọng Minh,Tên > Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Ủy viên HĐQT kiểm Phó Tổng Giám đốc,2.223.240.000,1.774.765.757,,2223240000.0,1774765757.0
Ông Đào Hữu Khanh,Tên > Ông Đào Hữu Khanh,Ông Đào Hữu Khanh,Ủy viên HĐQT đến ngày 22 tháng 4 năm 2023,-,432.702.428,,,432702428.0
Ông Lê Xuân Long,Tên > Ông Lê Xuân Long,Ông Lê Xuân Long,Ủy viên HĐQT,460.000.000,327.000.000,,460000000.0,327000000.0
Ông Nguyễn Đức Mạnh,Tên > Ông Nguyễn Đức Mạnh,Ông Nguyễn Đức Mạnh,Ủy viên HĐQT,253.333.338,131.666.669,,253333338.0,131666669.0
Ông Hoàng Đình Hùng,Tên > Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Thành viên độc lập HĐQT,791.709.957,604.451.299,,791709957.0,604451299.0
Ông Chu Tuấn Anh,Tên > Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Phó Tổng Giám đốc,1.753.040.000,1.712.772.500,,1753040000.0,1712772500.0
Ông Lê Xuân Tuấn,Tên > Ông Lê Xuân Tuấn,Ông Lê Xuân Tuấn,Phó Tổng Giám đốc,648.942.381,665.194.855,,648942381.0,665194855.0
Ông Nguyễn Văn Cương,Tên > Ông Nguyễn Văn Cương,Ông Nguyễn Văn Cương,Phó Tổng Giám đốc,-,986.400.000,,,986400000.0
Ông Đình Văn Võ,Tên > Ông Đình Văn Võ,Ông Đình Văn Võ,Phó Tổng Giám đốc,-,629.790.000,,,629790000.0
Ông Trần Tiến Dũng,Tên > Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Phó Tổng Giám đốc,1.342.440.000,735.577.500,,1342440000.0,735577500.0
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,10.352.705.676,10.475.321.008,,10352705676.0,10475321008.0
