row_label_raw,row_label_full,Năm trước > Số đầu năm,Vốn cổ phần đã phát hành > Năm trước > 1.963.574.150.000,Thặng dư vốn cổ phần > Năm trước > 229.106.864.127,Quỹ đầu tư phát triển > Năm trước > 23.516.835.886,Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.905.185.277.920,Đơn vị tính: VND Tổng cộng > Năm trước > 4.121.383.127.933,numeric__Vốn cổ phần đã phát hành > Năm trước > 1.963.574.150.000,numeric__Thặng dư vốn cổ phần > Năm trước > 229.106.864.127,numeric__Quỹ đầu tư phát triển > Năm trước > 23.516.835.886,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.905.185.277.920,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 4.121.383.127.933
- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,407.670.830.000,-,-,(407.670.830.000),-,407670830000.0,,,-407670830000.0,
- Phát hành cổ phiếu để thực hiện quyền của chứng quyền,- Phát hành cổ phiếu để thực hiện quyền của chứng quyền,- Phát hành cổ phiếu để thực hiện quyền của chứng quyền,74.814.000.000,145.760.864.551,-,-,220.574.864.551,74814000000.0,145760864551.0,,,220574864551.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,550.511.579.728,550.511.579.728,,,,550511579728.0,550511579728.0
- Tạm ứng cổ tức,- Tạm ứng cổ tức,- Tạm ứng cổ tức,-,-,-,(203.838.815.000),(203.838.815.000),,,,-203838815000.0,-203838815000.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,(22.452.000.000),(22.452.000.000),,,,-22452000000.0,-22452000000.0
Số cuối năm,Số cuối năm,Số cuối năm,2.446.058.980.000,374.867.728.678,23.516.835.886,1.821.735.212.648,4.666.178.757.212,2446058980000.0,374867728678.0,23516835886.0,1821735212648.0,4666178757212.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.446.058.980.000,374.867.728.678,23.516.835.886,1.821.735.212.648,4.666.178.757.212,2446058980000.0,374867728678.0,23516835886.0,1821735212648.0,4666178757212.0
- Phát hành cổ phiếu trả cổ tức (i),Năm nay > - Phát hành cổ phiếu trả cổ tức (i),- Phát hành cổ phiếu trả cổ tức (i),611.509.430.000,-,-,(611.509.430.000),-,611509430000.0,,,-611509430000.0,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,745.604.062.845,745.604.062.845,,,,745604062845.0,745604062845.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.057.568.410.000,374.867.728.678,23.516.835.886,1.955.829.845.493,5.411.782.820.057,3057568410000.0,374867728678.0,23516835886.0,1955829845493.0,5411782820057.0
