row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về dòng tiền quản lý tập trung (i),Ngắn hạn > Phải trả về dòng tiền quản lý tập trung (i),Phải trả về dòng tiền quản lý tập trung (i),315.333.781.040,382.070.177.103,315333781040.0,382070177103.0
Nhận tạm ứng từ công ty con,Ngắn hạn > Nhận tạm ứng từ công ty con,Nhận tạm ứng từ công ty con,34.000.000.000,34.000.000.000,34000000000.0,34000000000.0
"Ký cược, ký quỹ","Ngắn hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",24.678.564.252,3.962.223.472,24678564252.0,3962223472.0
Phải trả tiền hỗ trợ chuyển giao mặt bằng,Phải trả tiền hỗ trợ chuyển giao mặt bằng,Phải trả tiền hỗ trợ chuyển giao mặt bằng,,,,
Dự án An Khánh - An Thượng (ii),Phải trả tiền hỗ trợ chuyển giao mặt bằng > Dự án An Khánh - An Thượng (ii),Dự án An Khánh - An Thượng (ii),20.630.454.546,20.630.454.546,20630454546.0,20630454546.0
Thu hộ phải trả,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Thu hộ phải trả,Thu hộ phải trả,12.686.352.098,12.686.352.098,12686352098.0,12686352098.0
Phải trả lợi nhuận chia sẻ theo BCC,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Phải trả lợi nhuận chia sẻ theo BCC,Phải trả lợi nhuận chia sẻ theo BCC,7.710.400.280,6.792.700.280,7710400280.0,6792700280.0
Nhận tiền cho mục đích chuyển nhượng bất động sản,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Nhận tiền cho mục đích chuyển nhượng bất động sản,Nhận tiền cho mục đích chuyển nhượng bất động sản,7.464.242.260,59.382.101.127,7464242260.0,59382101127.0
Các khoản phải trả ngắn hạn khác,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,9.857.093.611,4.876.920.986,9857093611.0,4876920986.0
TỔNG CỘNG,Phải trả tiền hỗ trợ chuyển giao mặt bằng > TỔNG CỘNG,TỔNG CỘNG,432.360.888.087,524.400.929.612,432360888087.0,524400929612.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,105.126.895.886,107.791.095.362,105126895886.0,107791095362.0
Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),Trong đó: > Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),327.233.992.201,416.609.834.250,327233992201.0,416609834250.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả phí quản lý vận hành Dự án An Khánh- An Thượng,Dài hạn > Phải trả phí quản lý vận hành Dự án An Khánh- An Thượng,Phải trả phí quản lý vận hành Dự án An Khánh- An Thượng,375.542.400,11.627.971.200,375542400.0,11627971200.0
Nhận đặt cọc cho thuê,Dài hạn > Nhận đặt cọc cho thuê,Nhận đặt cọc cho thuê,11.842.375.852,33.299.319.723,11842375852.0,33299319723.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,12.217.918.252,44.927.290.923,12217918252.0,44927290923.0
