row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/cántrừ trong năm,Số đã nộptrong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp/cántrừ trong năm,numeric__Số đã nộptrong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.553.647.367,31.807.188.941,(29.822.227.977),4.538.608.331,2553647367.0,31807188941.0,-29822227977.0,4538608331.0
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,28.561.466.213,20.966.605.048,(41.934.519.127),7.593.552.134,28561466213.0,20966605048.0,-41934519127.0,7593552134.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,580.483.546,5.897.881.520,(5.836.101.843),642.263.223,580483546.0,5897881520.0,-5836101843.0,642263223.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,12.097.536,2.541.056.239,(2.545.297.689),7.856.086,12097536.0,2541056239.0,-2545297689.0,7856086.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,31.707.694.662,61.212.731.748,(80.138.146.636),12.782.279.774,31707694662.0,61212731748.0,-80138146636.0,12782279774.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cán trừtrong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,12.009.492.746,8.839.924.174,(9.273.914.989),11.575.501.931,12009492746.0,8839924174.0,-9273914989.0,11575501931.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,68.109.286,11.625.000,(9.985.000),69.749.286,68109286.0,11625000.0,-9985000.0,69749286.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,12.077.602.032,8.851.549.174,(9.283.899.989),11.645.251.217,12077602032.0,8851549174.0,-9283899989.0,11645251217.0
