row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,38.101.631.925,35.774.217.714,(73.875.849.639),-,38101631925.0,35774217714.0,-73875849639.0,
Vay ngân hàng dài hạn đến hạn trả (Thuyết minh số 20.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả (Thuyết minh số 20.1),Vay ngân hàng dài hạn đến hạn trả (Thuyết minh số 20.1),206.434.640.889,43.615.336.632,(206.434.640.888),43.615.336.633,206434640889.0,43615336632.0,-206434640888.0,43615336633.0
Vay đối tượng khác (Thuyết minh số 20.2),Vay ngắn hạn > Vay đối tượng khác (Thuyết minh số 20.2),Vay đối tượng khác (Thuyết minh số 20.2),63.050.859.827,9.412.801.726,(16.876.302.099),55.587.359.454,63050859827.0,9412801726.0,-16876302099.0,55587359454.0
Vay các bên liên quan dài hạn đến hạn trả (Thuyết minh số 29.3),Vay ngắn hạn > Vay các bên liên quan dài hạn đến hạn trả (Thuyết minh số 29.3),Vay các bên liên quan dài hạn đến hạn trả (Thuyết minh số 29.3),187.546.837.677,672.000.000.000,(187.546.837.677),672.000.000.000,187546837677.0,672000000000.0,-187546837677.0,672000000000.0
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,209.906.526.026,93.473.974,(210.000.000.000),-,209906526026.0,93473974.0,-210000000000.0,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,705.040.496.344,760.895.830.046,(694.733.630.303),771.202.696.087,705040496344.0,760895830046.0,-694733630303.0,771202696087.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngân hàng (Thuyết minh số 20.1),Vay dài hạn > Vay ngân hàng (Thuyết minh số 20.1),Vay ngân hàng (Thuyết minh số 20.1),130.846.009.903,-,(43.615.336.632),87.230.673.271,130846009903.0,,-43615336632.0,87230673271.0
Vay các bên liên quan (Thuyết minh số 29.3),Vay dài hạn > Vay các bên liên quan (Thuyết minh số 29.3),Vay các bên liên quan (Thuyết minh số 29.3),981.500.000.000,497.464.023.000,(1.082.500.000.000),396.464.023.000,981500000000.0,497464023000.0,-1082500000000.0,396464023000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.112.346.009.903,497.464.023.000,(1.126.115.336.632),483.694.696.271,1112346009903.0,497464023000.0,-1126115336632.0,483694696271.0
