row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Công ty Hà Đô 756,Công ty Hà Đô 756,Công ty Hà Đô 756,31.890.294.513,27.852.449.213,31890294513.0,27852449213.0
Công ty Cổ phần Hà Đô 1,Công ty Cổ phần Hà Đô 1,Công ty Cổ phần Hà Đô 1,6.086.282.710,42.485.581.886,6086282710.0,42485581886.0
Công ty Cổ phần Tư vấn Phát triển và Xây dựng Sông Hồng,Công ty Cổ phần Tư vấn Phát triển và Xây dựng Sông Hồng,Công ty Cổ phần Tư vấn Phát triển và Xây dựng Sông Hồng,-,24.315.703.621,,24315703621.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,20.315.566.784,19.914.598.646,20315566784.0,19914598646.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,58.292.144.007,114.568.333.366,58292144007.0,114568333366.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),Trong đó: > Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),37.479.579.627,33.055.443.132,37479579627.0,33055443132.0
Phải trả người bán ngắn hạn khác,Trong đó: > Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,20.812.564.380,81.512.890.234,20812564380.0,81512890234.0
