row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
"Chi phí môi giới, tiếp thị","Chi phí bán hàng > Chi phí môi giới, tiếp thị","Chi phí môi giới, tiếp thị",12.883.519.511,2.505.251.366,12883519511.0,2505251366.0
Chi phí lương nhân viên bán hàng,Chi phí bán hàng > Chi phí lương nhân viên bán hàng,Chi phí lương nhân viên bán hàng,1.009.035.448,869.507.402,1009035448.0,869507402.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,1.051.350.678,705.750.019,1051350678.0,705750019.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,14.943.905.637,4.080.508.787,14943905637.0,4080508787.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,58.925.104.188,54.267.236.360,58925104188.0,54267236360.0
Chi phí dự án ngừng triển khai,Chi phí quản lý doanh nghiệp > Chi phí dự án ngừng triển khai,Chi phí dự án ngừng triển khai,47.103.730.833,-,47103730833.0,
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,17.344.485.629,22.582.923.200,17344485629.0,22582923200.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,14.760.894.941,10.707.297.605,14760894941.0,10707297605.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,138.134.215.591,87.557.457.165,138134215591.0,87557457165.0
