row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty Agrita – Quảng Nam,Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty con,Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Phải trả lãi vay,Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > 10.286.000.002,Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > 4.959.199.998,numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty con,numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Phải trả lãi vay,numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > 10.286.000.002,numeric__Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 18) > 4.959.199.998
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,Phải trả lãi vay,9.388.367.944,9.388.367.944,,,9388367944.0,9388367944.0
Công ty 756,Công ty 756,Công ty 756,Công ty con,Phải trả lãi vay,29.042.263.744,14.731.051.361,,,29042263744.0,14731051361.0
Sài Gòn,Sài Gòn,Sài Gòn,Sài Gòn,Sài Gòn,Sài Gòn,Sài Gòn,,,,
Công ty Za Hưng,Sài Gòn > Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải trả lãi vay,26.582.520.546,8.916.109.589,,,26582520546.0,8916109589.0
Công ty Hà Đô Thuận Nam,Sài Gòn > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Phải trả lãi vay,-,2.869.320.547,,,,2869320547.0
Công ty Quản lý Hà Đô,Sài Gòn > Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phải trả lãi vay,-,1.357.367.121,,,,1357367121.0
Công ty Thiết bị Giáo dục 1,Sài Gòn > Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Phải trả lãi vay,35.925.123.247,16.483.873.973,,,35925123247.0,16483873973.0
Công ty Surya,Sài Gòn > Công ty Surya,Công ty Surya,Công ty con,Phải trả lãi vay,2.285.046.574,1.039.739.726,,,2285046574.0,1039739726.0
Công ty Hà Đô Bình Thuận,Sài Gòn > Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Phải trả lãi vay,-,682.246.575,,,,682246575.0
TỔNG CỘNG,Sài Gòn > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,113.509.322.057,60.427.276.834,,,113509322057.0,60427276834.0
