row_label_raw,row_label_full,Bên liên quan > Công ty Khánh Hà,Mối quan hệ > Công ty con,Số dư cho vay VND > 8.700.000.000,Lãi suất %/năm > 8%/năm,Ngày đáo hạn > Gốc và lãi vay trả trong giai đoạn từ tháng 5 đến tháng 10 năm 2024,Hình thức đảm bảo > Tín chấp,numeric__Mối quan hệ > Công ty con,numeric__Số dư cho vay VND > 8.700.000.000,numeric__Lãi suất %/năm > 8%/năm,numeric__Ngày đáo hạn > Gốc và lãi vay trả trong giai đoạn từ tháng 5 đến tháng 10 năm 2024,numeric__Hình thức đảm bảo > Tín chấp
,,,,8.700.000.000,,,,,8700000000.0,,,
Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2023 (Thuyết minh số 8):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2023 (Thuyết minh số 8):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2023 (Thuyết minh số 8):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2023 (Thuyết minh số 8):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2023 (Thuyết minh số 8):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2023 (Thuyết minh số 8):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2023 (Thuyết minh số 8):,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2023 (Thuyết minh số 8):,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Số dư cho vay VND,Lãi suất %/năm,Ngày đáo hạn,Hình thức đảm bảo,,,,,
Công ty Khánh Hà,Bên liên quan > Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,6.900.000.000,8%/năm,Gốc và lãi vay trả trong giai đoạn từ tháng 3 đến tháng 11 năm 2025,Tín chấp,,6900000000.0,,,
,,,,6.900.000.000,,,,,6900000000.0,,,
