row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc vàquyền sử dụng đất",Bắt động sảnđầu tư khác (*),Đơn vị tính: VND,"numeric__Nhà cửa,vật kiến trúc vàquyền sử dụng đất",numeric__Bắt động sảnđầu tư khác (*),numeric__Đơn vị tính: VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,572.944.206.600,185.250.272.310,758.194.478.910,572944206600.0,185250272310.0,758194478910.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,572.944.206.600,185.250.272.310,758.194.478.910,572944206600.0,185250272310.0,758194478910.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,3.135.792.727,40.266.827.699,43.402.620.426,3135792727.0,40266827699.0,43402620426.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,112.211.452.012,62.728.489.438,174.939.941.450,112211452012.0,62728489438.0,174939941450.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,19.292.612.352,6.573.937.321,25.866.549.673,19292612352.0,6573937321.0,25866549673.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,131.504.064.364,69.302.426.759,200.806.491.123,131504064364.0,69302426759.0,200806491123.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,460.732.754.588,122.521.782.872,583.254.537.460,460732754588.0,122521782872.0,583254537460.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,441.440.142.236,115.947.845.551,557.387.987.787,441440142236.0,115947845551.0,557387987787.0
