row_label_raw,row_label_full,Bên liên quan > Công ty Khánh Hà,Mối quan hệ > Công ty con,Số dư cho vay VND > 17.620.000.000,Lãi suất %/năm > 8%/năm,numeric__Mối quan hệ > Công ty con,numeric__Số dư cho vay VND > 17.620.000.000,numeric__Lãi suất %/năm > 8%/năm
,,,,17.620.000.000,17.620.000.000,,17620000000.0,17620000000.0
Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2022:,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Số dư cho vay VND,Lãi suất %/năm,,,
Công ty Khánh Hà,Bên liên quan > Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,1.980.000.000,8%/năm,,1980000000.0,
,,,,1.980.000.000,1.980.000.000,,1980000000.0,1980000000.0
