row_label_raw,row_label_full,STT > 1,Tên đơn vị > Công ty Agrita – Quảng Nam,Số cuối năm > Số lượng cổ phần > 99.729.000,Số cuối năm > Giá trị ghi sổ > 1.190.305.295.099,Số cuối năm > Giá trị hợp lý > (*),"Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp > 94,98%",Số đầu năm > Số lượng cổ phần > 99.729.000,Số đầu năm > Giá trị ghi sổ > 1.190.305.295.099,Số đầu năm > Giá trị hợp lý > (*),"Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp > 94,98%",numeric__Tên đơn vị > Công ty Agrita – Quảng Nam,numeric__Số cuối năm > Số lượng cổ phần > 99.729.000,numeric__Số cuối năm > Giá trị ghi sổ > 1.190.305.295.099,numeric__Số cuối năm > Giá trị hợp lý > (*),"numeric__Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp > 94,98%",numeric__Số đầu năm > Số lượng cổ phần > 99.729.000,numeric__Số đầu năm > Giá trị ghi sổ > 1.190.305.295.099,numeric__Số đầu năm > Giá trị hợp lý > (*),"numeric__Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp > 94,98%"
2,2,2,Công ty Năng lượng Hà Đô,112.460.000,1.124.600.000.000,(*),"99,96%",112.460.000,1.124.600.000.000,(*),"99,96%",,112460000.0,1124600000000.0,,0.9995999999999999,112460000.0,1124600000000.0,,0.9995999999999999
3,3,3,Công ty Bình An Riverside,61.782.000,628.299.000.000,(*),"99,97%",61.782.000,628.299.000.000,(*),"99,97%",,61782000.0,628299000000.0,,0.9997,61782000.0,628299000000.0,,0.9997
4,4,4,Công ty Minh Long,32.414.780,417.218.779.435,(*),"73,67%",32.414.780,417.218.779.435,(*),"73,67%",,32414780.0,417218779435.0,,0.7367,32414780.0,417218779435.0,,0.7367
5,5,5,Công ty Za Hưng,63.210.546,371.629.000.000,(*),"51,75%",63.210.546,371.629.000.000,(*),"51,75%",,63210546.0,371629000000.0,,0.5175,63210546.0,371629000000.0,,0.5175
6,6,6,Công ty Quốc tế Hà Đô,(**),367.428.647.832,(*),100%,(**),367.428.647.832,(*),100%,,,367428647832.0,,1.0,,367428647832.0,,1.0
7,7,7,Công ty 756 Sài Gòn,28.350.000,283.500.000.000,(*),63%,28.350.000,283.500.000.000,(*),63%,,28350000.0,283500000000.0,,0.63,28350000.0,283500000000.0,,0.63
8,8,8,Công ty Thiết Bj Giáo Dục 1 (i),42.328.039,663.377.802.322,(*),"99,95%",42.319.073,662.996.747.322,(*),"99,93%",,42328039.0,663377802322.0,,0.9995,42319073.0,662996747322.0,,0.9993000000000001
9,9,9,Công ty Khánh Hà,18.439.089,196.842.885.000,(*),"70,92%",18.439.089,196.842.885.000,(*),"70,92%",,18439089.0,196842885000.0,,0.7092,18439089.0,196842885000.0,,0.7092
10,10,10,Công ty Sông Tranh 4,15.300.000,157.994.654.400,(*),34%,15.300.000,157.994.654.400,(*),34%,,15300000.0,157994654400.0,,0.34,15300000.0,157994654400.0,,0.34
11,11,11,Công ty Quản lý Hà Đô (ii),1.399.300,7.365.043.169,(*),"99,95%",1.999.000,13.372.043.169,(*),"99,95%",,1399300.0,7365043169.0,,0.9995,1999000.0,13372043169.0,,0.9995
12,12,12,Công ty Quản lý và Kinh doanh Hà Đô (Thuyết minh số 1),1.999.800,19.998.000.000,(*),"99,99%",-,-,(*),-,,1999800.0,19998000000.0,,0.9998999999999999,,,,
13,13,13,Công ty Hà Đô Ninh Thuận (Thuyết minh số 1),-,-,(*),-,(**),2.148.000.000,(*),100%,,,,,,,2148000000.0,,1.0
,,,TỔNG CỘNG,,5.428.559.107.257,,,,5.416.335.052.257,,,,,5428559107257.0,,,,5416335052257.0,,
,,,Dự phòng đầu tư vào công ty con,,14.870.926.213,,,,12.815.841.167,,,,,14870926213.0,,,,12815841167.0,,
