row_label_raw,row_label_full,Bên liên quan > Công ty Quản lý Hà ĐôTrong đó:Vay dài hạn đến hạn trả,Mối quan hệ > Công ty con,Số dư vay VND > 21.000.000.000,"Lãi suất %/năm > 5,8%/năm",Ngày đáo hạn > Từ ngày 28 tháng 6 năm 2023 đến ngày 16 tháng 10 năm 2024,Hình thức đãm bảo > Tín chấp,numeric__Mối quan hệ > Công ty con,numeric__Số dư vay VND > 21.000.000.000,"numeric__Lãi suất %/năm > 5,8%/năm",numeric__Ngày đáo hạn > Từ ngày 28 tháng 6 năm 2023 đến ngày 16 tháng 10 năm 2024,numeric__Hình thức đãm bảo > Tín chấp
Công ty Quản lý Hà ĐôTrong đó:Vay dài hạn đến hạn trả,Công ty Quản lý Hà ĐôTrong đó:Vay dài hạn đến hạn trả,Công ty Quản lý Hà ĐôTrong đó:Vay dài hạn đến hạn trả,Công ty con,16.500.000.000,,,,,16500000000.0,,,
Công ty Thiết bị Giáo dục 1Trong đó:Vay dài hạn đến hạn trả,Công ty Thiết bị Giáo dục 1Trong đó:Vay dài hạn đến hạn trả,Công ty Thiết bị Giáo dục 1Trong đó:Vay dài hạn đến hạn trả,Công ty con,379.000.000.000,"4,5% - 5,8%/năm",Từ ngày 22 tháng 3 năm 2023 đến ngày 28 tháng 12 năm 2024,Tín chấp,,379000000000.0,,,
Công ty Thiết bị Giáo dục 1Trong đó:Vay dài hạn đến hạn trả,Công ty Thiết bị Giáo dục 1Trong đó:Vay dài hạn đến hạn trả,Công ty Thiết bị Giáo dục 1Trong đó:Vay dài hạn đến hạn trả,Công ty con,40.000.000.000,,,,,40000000000.0,,,
Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty con,306.046.837.677,"5,6% - 5,8%/năm",Từ ngày 1 tháng 10 năm 2023 đến ngày 27 tháng 12 năm 2024,Tín chấp,,306046837677.0,,,
Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty con,131.046.837.677,,,,,131046837677.0,,,
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,230.000.000.000,"5,8%/năm",Từ ngày 18 tháng 4 năm 2024 đến ngày 20 tháng 5 năm 2024,Tín chấp,,230000000000.0,,,
Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,,126.000.000.000,"5,8% - 6,8/năm",Từ ngày 18 tháng 4 năm 2024 đến ngày 17 tháng 5 năm 2024,Tín chấp,,126000000000.0,,,
Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,31.000.000.000,"5,8%/năm",Ngày 28 tháng 10 năm 2024,Tín chấp,,31000000000.0,,,
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,51.000.000.000,"5,8%/năm",Từ ngày 20 tháng 5 năm 2024 đến ngày 28 tháng 10 năm 2024,Tín chấp,,51000000000.0,,,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,25.000.000.000,"5,8%/năm",Ngày 28 tháng 10 năm 2024,Tín chấp,,25000000000.0,,,
,,,,1.169.046.837.677,,,,,1169046837677.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,,981.500.000.000187.546.837.677,,,,,9.815000000001876e+23,,,
