row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 16),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 16),Đơn vị tính: VND > Số tiền > Chi phí phải trả ngắn hạn (Thuyết minh số 16),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 16),numeric__Đơn vị tính: VND > Số tiền > Chi phí phải trả ngắn hạn (Thuyết minh số 16)
Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Lãi vay phải trả,4.385.872.097,,4385872097.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Lãi vay phải trả,370.691.739,,370691739.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Lãi vay phải trả,4.756.563.836,,4756563836.0
Chi phí phải trả dài hạn (Thuyết minh số 16),Chi phí phải trả dài hạn (Thuyết minh số 16),Chi phí phải trả dài hạn (Thuyết minh số 16),Chi phí phải trả dài hạn (Thuyết minh số 16),Chi phí phải trả dài hạn (Thuyết minh số 16),,
Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh số 16) > Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Lãi vay phải trả,2.887.232.877,,2887232877.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh số 16) > Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn- Hải Phòng,Lãi vay phải trả,2.887.232.877,,2887232877.0
"Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 17)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 17)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 17)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 17)","Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 17)",,
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,"Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 17) > Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang",Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Phải trả khác,80.050.248.635,,80050248635.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,"Các khoản phải trả, phải nộp ngắn hạn khác (Thuyết minh số 17) > Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang",Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Phải trả khác,80.050.248.635,,80050248635.0
Vay ngắn hạn (Thuyết minh số 18),Vay ngắn hạn (Thuyết minh số 18),Vay ngắn hạn (Thuyết minh số 18),Vay ngắn hạn (Thuyết minh số 18),Vay ngắn hạn (Thuyết minh số 18),,
