row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng,Số cuối năm > Giá trị theo mệnh giá (VND),Số đầu năm > Số lượng,Số đầu năm > Giá trị theo mệnh giá (VND),numeric__Số cuối năm > Số lượng,numeric__Số cuối năm > Giá trị theo mệnh giá (VND),numeric__Số đầu năm > Số lượng,numeric__Số đầu năm > Giá trị theo mệnh giá (VND)
Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,475.711.167,4.757.111.670.000,395.711.167,3.957.111.670.000,475711167.0,4757111670000.0,395711167.0,3957111670000.0
Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,475.711.167,4.757.111.670.000,395.711.167,3.957.111.670.000,475711167.0,4757111670000.0,395711167.0,3957111670000.0
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,475.711.167,4.757.111.670.000,395.711.167,3.957.111.670.000,475711167.0,4757111670000.0,395711167.0,3957111670000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
Cổ phiếu quỹ,Cổ phiếu ưu đãi > Cổ phiếu quỹ,Cổ phiếu quỹ,5.950.978,59.509.780.000,5.950.978,59.509.780.000,5950978.0,59509780000.0,5950978.0,59509780000.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,5.950.978,59.509.780.000,5.950.978,59.509.780.000,5950978.0,59509780000.0,5950978.0,59509780000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
Cổ phiếu đang lưu hành,Cổ phiếu ưu đãi > Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,469.760.189,4.697.601.890.000,389.760.189,3.897.601.890.000,469760189.0,4697601890000.0,389760189.0,3897601890000.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,469.760.189,4.697.601.890.000,389.760.189,3.897.601.890.000,469760189.0,4697601890000.0,389760189.0,3897601890000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
