row_label_raw,row_label_full,Bà Nguyễn Chung Thúy,Trường Ban kiểm soát,numeric__Trường Ban kiểm soát
Bà Lê Thị Thu Hằng,Bà Lê Thị Thu Hằng,Bà Lê Thị Thu Hằng,Thành viên,
Ông Phan Anh Tuán,Ông Phan Anh Tuán,Ông Phan Anh Tuán,Thành viên,
