row_label_raw,row_label_full,Bên liên quan > Phải thu khác về cho vay ngắn hạn (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu khác về cho vay ngắn hạn (Thuyết minh số 7),Đơn vị tính: VND > Số tiền > Phải thu khác về cho vay ngắn hạn (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu khác về cho vay ngắn hạn (Thuyết minh số 7),numeric__Đơn vị tính: VND > Số tiền > Phải thu khác về cho vay ngắn hạn (Thuyết minh số 7)
Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng,Cho vay không lãi,136.929.723.661,,136929723661.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn – Hải Phòng,Cho vay không lãi,136.929.723.661,,136929723661.0
Phải thu khác về cho vay dài hạn (Thuyết minh số 7),Phải thu khác về cho vay dài hạn (Thuyết minh số 7),Phải thu khác về cho vay dài hạn (Thuyết minh số 7),Phải thu khác về cho vay dài hạn (Thuyết minh số 7),Phải thu khác về cho vay dài hạn (Thuyết minh số 7),,
Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát (**),Phải thu khác về cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát (**),Công ty TNHH Một Thành viên Phát triển Đồ thị Tràng Cát (**),Cho vay,1.817.232.633.533,,1817232633533.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Phải thu khác về cho vay dài hạn (Thuyết minh số 7) > Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Cho vay tiền trái phiếu KBC Bond 005,258.000.000.000,,258000000000.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Phải thu khác về cho vay dài hạn (Thuyết minh số 7) > Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Công ty Cổ phần Khu công nghiệp Sài Gòn – Bắc Giang (*),Cho vay tiền trái phiếu KBC Bond 005,2.075.232.633.533,,2075232633533.0
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,
Ông Đặng Thành Tâm,Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Tạm ứng,4.609.826.088,,4609826088.0
Bà Nguyễn Thị Thu Hương,Phải thu ngắn hạn khác (Thuyết minh số 8) > Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tạm ứng,3.960.772.420,,3960772420.0
Ông Phan Anh Dũng,Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Phan Anh Dũng,Ông Phan Anh Dũng,Tạm ứng,110.000.000,,110000000.0
