row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
- Công ty Cổ phần khu công nghiệp Sài Gòn - Tây Ninh (*),Ngắn hạn > - Công ty Cổ phần khu công nghiệp Sài Gòn - Tây Ninh (*),- Công ty Cổ phần khu công nghiệp Sài Gòn - Tây Ninh (*),300.000.000,300.000.000,300000000.0,300000000.0
- Công ty Cổ phần Du lịch Sài Gòn,Ngắn hạn > - Công ty Cổ phần Du lịch Sài Gòn,- Công ty Cổ phần Du lịch Sài Gòn,500.000.000,500.000.000,500000000.0,500000000.0
- Công ty Cổ phần Sản xuất Thương mại Sài Gòn,Ngắn hạn > - Công ty Cổ phần Sản xuất Thương mại Sài Gòn,- Công ty Cổ phần Sản xuất Thương mại Sài Gòn,-,50.000.000.000,,50000000000.0
Phải thu từ các bên liên quan(Thuyết minh số 27),Ngắn hạn > Phải thu từ các bên liên quan(Thuyết minh số 27),Phải thu từ các bên liên quan(Thuyết minh số 27),-,136.929.723.661,,136929723661.0
,,,800.000.000,187.729.723.661,800000000.0,187729723661.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ các bên liên quan(Thuyết minh số 27),Dài hạn > Phải thu từ các bên liên quan(Thuyết minh số 27),Phải thu từ các bên liên quan(Thuyết minh số 27),2.159.132.633.533,2.075.232.633.533,2159132633533.0,2075232633533.0
- Công ty Cổ phần Dịch vụ Kinh Bắc,Dài hạn > - Công ty Cổ phần Dịch vụ Kinh Bắc,- Công ty Cổ phần Dịch vụ Kinh Bắc,-,6.992.700.000,,6992700000.0
- Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (**),Dài hạn > - Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (**),- Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (**),6.992.700.000,6.992.700.000,6992700000.0,6992700000.0
Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),Dài hạn > Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),Ban quản lý dự án xây dựng thành phố Bắc Ninh (UBND thành phố Bắc Ninh),700.000.000,700.000.000,700000000.0,700000000.0
,,,2.166.825.333.533,2.089.918.033.533,2166825333533.0,2089918033533.0
