row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Giá trị,Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu chuyển nhượng cổ phần (i),Ngắn hạn > Phải thu chuyển nhượng cổ phần (i),Phải thu chuyển nhượng cổ phần (i),672.730.000.000,-,-,-,672730000000.0,,,
Phải thu lãi trả chấm (ii),Ngắn hạn > Phải thu lãi trả chấm (ii),Phải thu lãi trả chấm (ii),,-,16.385.571.712,-,,,16385571712.0,
Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc liên quan đến công nợ với Công ty Cổ phần Thủy điện SGI - Lào (iii),Ngắn hạn > Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc liên quan đến công nợ với Công ty Cổ phần Thủy điện SGI - Lào (iii),Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc liên quan đến công nợ với Công ty Cổ phần Thủy điện SGI - Lào (iii),151.146.558.152,-,-,-,151146558152.0,,,
Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iv),Ngắn hạn > Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iv),Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh tiền hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iv),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đất cọc (v),Ngắn hạn > Phải thu tiền đất cọc (v),Phải thu tiền đất cọc (v),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu từ các bên liên quan (Thuyết minh số 27),Ngắn hạn > Phải thu từ các bên liên quan (Thuyết minh số 27),Phải thu từ các bên liên quan (Thuyết minh số 27),4.070.772.420,-,8.680.598.508,-,4070772420.0,,8680598508.0,
Phải thu Ủy ban Nhân dân Xã Vân Dương,Ngắn hạn > Phải thu Ủy ban Nhân dân Xã Vân Dương,Phải thu Ủy ban Nhân dân Xã Vân Dương,2.228.672.000,-,2.228.672.000,-,2228672000.0,,2228672000.0,
Phải thu khác (vi),Ngắn hạn > Phải thu khác (vi),Phải thu khác (vi),7.551.529.644,-,13.287.319.909,10.595.000.000,7551529644.0,,13287319909.0,10595000000.0
,,,870.018.660.620,-,72.873.290.533,10.595.000.000,870018660620.0,,72873290533.0,10595000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải thu từ các bên liên quan (Thuyết minh số 27),Dài hạn > Phải thu từ các bên liên quan (Thuyết minh số 27),Phải thu từ các bên liên quan (Thuyết minh số 27),172.291.671.329,-,76.016.967.772,-,172291671329.0,,76016967772.0,
Công ty Cổ phần Dịch vụ Kinh Bắc (ii),Dài hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (ii),Công ty Cổ phần Dịch vụ Kinh Bắc (ii),15.358.350.117,,-,,15358350117.0,,,
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,60.000.000,-,60.000.000,-,60000000.0,,60000000.0,
,,,187.710.021.446,-,76.076.967.772,-,187710021446.0,,76076967772.0,
