row_label_raw,row_label_full,Bến liên quan,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty cho vay,33.000.000.000,136.929.723.661,,33000000000.0,136929723661.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty nhận khoản trả nợ vay,169.929.723.661,-,,169929723661.0,
Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty nhận tiền vay,299.470.276.339,201.769.000.000,,299470276339.0,201769000000.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty trả nợ vay,-,527.070.276.339,,,527070276339.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Phải thu lãi trái phiếu KBC bond 005,43.539.340.182,56.498.972.603,,43539340182.0,56498972603.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,"Cân trừ lãi trái phiếu, phí bảo lãnh trái phiếu với nợ vay",43.539.340.182,56.498.972.603,,43539340182.0,56498972603.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty nhận nợ vay,23.260.000.000,960.000.000,,23260000000.0,960000000.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty trả nợ vay,31.000.000.000,-,,31000000000.0,
Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty cho vay,83.900.000.000,-,,83900000000.0,
Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty phải thu lãi trái phiếu,96.274.703.557,59.771.155.069,,96274703557.0,59771155069.0
Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty nhận trả nợ vay,-,93.200.000.000,,,93200000000.0
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Công ty nhận nợ vay dài hạn,33.136.871.057,-,,33136871057.0,
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Công ty trả gốc vay dài hạn,29.287.707.175,-,,29287707175.0,
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Công ty tạm ứng,13.679.289.000,38.297.901.111,,13679289000.0,38297901111.0
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Công ty nhận hoàn ứng,18.289.115.088,33.688.647.105,,18289115088.0,33688647105.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Thanh toán phí lập đặt hệ thống Video Conference,1.485.599.500,-,,1485599500.0,
