row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí phát triển cơ sở hạ tầng trích trước đối với phần doanh thu đã được ghi nhận,Ngắn hạn > Chi phí phát triển cơ sở hạ tầng trích trước đối với phần doanh thu đã được ghi nhận,Chi phí phát triển cơ sở hạ tầng trích trước đối với phần doanh thu đã được ghi nhận,189.882.476.080,179.464.000.986,189882476080.0,179464000986.0
- Khu công nghiệp Quế Võ hiện hữu,Ngắn hạn > - Khu công nghiệp Quế Võ hiện hữu,- Khu công nghiệp Quế Võ hiện hữu,30.949.674.086,38.715.957.304,30949674086.0,38715957304.0
- Khu công nghiệp Quế Võ mở rộng,Ngắn hạn > - Khu công nghiệp Quế Võ mở rộng,- Khu công nghiệp Quế Võ mở rộng,158.932.801.994,140.748.043.682,158932801994.0,140748043682.0
Chi phí lãi vay phải trả,Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,6.646.130.200,12.915.812.686,6646130200.0,12915812686.0
Chi phí phát hành trải phiếu chuyển đổi,Ngắn hạn > Chi phí phát hành trải phiếu chuyển đổi,Chi phí phát hành trải phiếu chuyển đổi,-,13.950.000.000,,13950000000.0
Chi phí phải trả bên liên quan (Thuyết minh số 27),Ngắn hạn > Chi phí phải trả bên liên quan (Thuyết minh số 27),Chi phí phải trả bên liên quan (Thuyết minh số 27),4.756.563.836,235.894.743,4756563836.0,235894743.0
Các chi phí phải trả khác,Ngắn hạn > Các chi phí phải trả khác,Các chi phí phải trả khác,8.821.892.483,4.082.466.994,8821892483.0,4082466994.0
,,,210.107.062.599,210.648.175.409,210107062599.0,210648175409.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Chi phí lãi vay phải trả (*),Dải hạn > Chi phí lãi vay phải trả (*),Chi phí lãi vay phải trả (*),670.054.155.614,573.779.452.057,670054155614.0,573779452057.0
Chi phí phải trả bên liên quan (Thuyết minh số 27),Dải hạn > Chi phí phải trả bên liên quan (Thuyết minh số 27),Chi phí phải trả bên liên quan (Thuyết minh số 27),2.887.232.877,-,2887232877.0,
,,,672.941.388.491,573.779.452.057,672941388491.0,573779452057.0
