row_label_raw,row_label_full,col_0,Trường hợp doanh thu được ghi nhận một lần tại thời điểm bản giao đất,Đơn vị tính: VND,numeric__Trường hợp doanh thu được ghi nhận một lần tại thời điểm bản giao đất,numeric__Đơn vị tính: VND
,,,Trường hợp doanh thu được ghi nhận một lần tại thời điểm bản giao đất,Trường hợp doanh thu được phân bổ trong thời hạn thuê đất,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,410.905.086.146,286.886.186.646,410905086146.0,286886186646.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu cho thuê đất và cơ sở hạ tầng (*),Trong đó: > Doanh thu cho thuê đất và cơ sở hạ tầng (*),Doanh thu cho thuê đất và cơ sở hạ tầng (*),125.890.401.298,3.312.905.297,125890401298.0,3312905297.0
Giá vốn hàng bán và dịch vụ cung cấp,Trong đó: > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(140.177.369.285),(125.542.156.724),-140177369285.0,-125542156724.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Trong đó: > Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,270.727.716.861,162.785.433.421,270727716861.0,162785433421.0
Tổng lợi nhuận kế toán trước thuế,Trong đó: > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,477.087.481.552,369.145.198.112,477087481552.0,369145198112.0
Chi phí thuế TNDN hiện hành,Trong đó: > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(88.825.088.158),(73.144.268.988),-88825088158.0,-73144268988.0
Thu nhập/(chi phí) thuế TNDN hoãn lại,Trong đó: > Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,208.060.250,(15.040.969.345),208060250.0,-15040969345.0
Lợi nhuận sau thuế TNDN,Trong đó: > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,388.470.453.644,280.528.170.204,388470453644.0,280528170204.0
