row_label_raw,row_label_full,Mãsố,Chỉ tiêu,Thuyếtminh,Ngày 31 tháng 12năm 2014 (đếđược trình bảytrước dây),Trình bày lại,Ngày 31 tháng 12năm 2014 (trìnhbảy lại),numeric__Chỉ tiêu,numeric__Thuyếtminh,numeric__Ngày 31 tháng 12năm 2014 (đếđược trình bảytrước dây),numeric__Trình bày lại,numeric__Ngày 31 tháng 12năm 2014 (trìnhbảy lại)
Bàng cản đổi kề toán riêng,Bàng cản đổi kề toán riêng,Bàng cản đổi kề toán riêng,Bàng cản đổi kề toán riêng,Bàng cản đổi kề toán riêng,Bàng cản đổi kề toán riêng,Bàng cản đổi kề toán riêng,Bàng cản đổi kề toán riêng,,,,,
135,Bàng cản đổi kề toán riêng > 135,135,Phải thu về cho vayngắn hạn,(i),-,187.729.723.661,187.729.723.661,,,,187729723661.0,187729723661.0
136,Bàng cản đổi kề toán riêng > 136,136,Phải thu ngắn hạnkhác,(i),251.573.314.760,(178.700.024.227),72.873.290.533,,,251573314760.0,-178700024227.0,72873290533.0
155,Bàng cản đổi kề toán riêng > 155,155,Tài sản ngắn hạn khác,(ii),23.715.099.434,(23.715.099.434),-,,,23715099434.0,-23715099434.0,
215,Bàng cản đổi kề toán riêng > 215,215,Phải thu cho vay đàihanạn,(iii),-,2.089.918.033.533,2.089.918.033.533,,,,2089918033533.0,2089918033533.0
216,Bàng cản đổi kề toán riêng > 216,216,Phải thu dài hạn khác,(iii),2.151.249.601.305,(2.075.172.633.533),76.076.967.772,,,2151249601305.0,-2075172633533.0,76076967772.0
261,Bàng cản đổi kề toán riêng > 261,261,Chỉ phí trả trước đàihạn,(iv),19.364.980.908,(18.997.419.829),367.561.079,,,19364980908.0,-18997419829.0,367561079.0
268,Bàng cản đổi kề toán riêng > 268,268,Tài sản dài hạn khác,(v),60.000.000,(60.000.000),-,,,60000000.0,-60000000.0,
315,Bàng cản đổi kề toán riêng > 315,315,Chỉ phí phải trả ngắnhạn,(vi),784.427.627.466,(573.779.452.057),210.648.175.409,,,784427627466.0,-573779452057.0,210648175409.0
319,Bàng cản đổi kề toán riêng > 319,319,Phải trả ngắn hạnkhác,(vii),321.572.872.254,(55.500.000.002),266.072.872.252,,,321572872254.0,-55500000002.0,266072872252.0
333,Bàng cản đổi kề toán riêng > 333,333,Chỉ phí phải trả đàihạn,(vi),-,573.779.452.057,573.779.452.057,,,,573779452057.0,573779452057.0
337,Bàng cản đổi kề toán riêng > 337,337,Phải trả dài hạn khác,(vii),1.903.046.982,54.548.032.040,56.451.079.022,,,1903046982.0,54548032040.0,56451079022.0
338,Bàng cản đổi kề toán riêng > 338,338,Vay dài hạn,(viii),2.353.446.666.680,(905.047.419.829),1.448.399.246.851,,,2353446666680.0,-905047419829.0,1448399246851.0
339,Bàng cản đổi kề toán riêng > 339,339,Trái phiếu chuyển đổi,(viii),-,886.050.000.000,886.050.000.000,,,,886050000000.0,886050000000.0
342,Bàng cản đổi kề toán riêng > 342,342,Dự phòng phải trả đàihạn,(ix),-,951.967.962,951.967.962,,,,951967962.0,951967962.0
