row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,23.781.816.442,158.373.193.438,23781816442.0,158373193438.0
Chi phí bảo lãnh trái phiếu,Chi phí bảo lãnh trái phiếu,Chi phí bảo lãnh trái phiếu,3.165.408.455,10.388.230.849,3165408455.0,10388230849.0
Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,7.357.865.202,50.047.250.902,7357865202.0,50047250902.0
Lỗ từ thanh lý các khoản đầu tư,Lỗ từ thanh lý các khoản đầu tư,Lỗ từ thanh lý các khoản đầu tư,6.265.941.848,-,6265941848.0,
Chi phí lãi phát sinh từ khoản đặt cọc mua nhà khuđô thị Phúc Ninh,Chi phí lãi phát sinh từ khoản đặt cọc mua nhà khuđô thị Phúc Ninh,Chi phí lãi phát sinh từ khoản đặt cọc mua nhà khuđô thị Phúc Ninh,1.775.655.000,975.751.170,1775655000.0,975751170.0
Phí lưu ký chứng khoán,Phí lưu ký chứng khoán,Phí lưu ký chứng khoán,145.250.725,111.335.841,145250725.0,111335841.0
Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,-,3.588.622.690,,3588622690.0
Lỗ chênh lệch tỷ giá hối đoái đã thực hiện,Lỗ chênh lệch tỷ giá hối đoái đã thực hiện,Lỗ chênh lệch tỷ giá hối đoái đã thực hiện,337.059.146,128.413.584,337059146.0,128413584.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,42.828.996.818,223.612.798.474,42828996818.0,223612798474.0
