row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ khách hàng,Phải thu từ khách hàng,Phải thu từ khách hàng,,,,
- Công ty Cổ phần Đầu tư Sài Gòn (*),Phải thu từ khách hàng > - Công ty Cổ phần Đầu tư Sài Gòn (*),- Công ty Cổ phần Đầu tư Sài Gòn (*),104.130.000.000,104.130.000.000,104130000000.0,104130000000.0
- Công ty Cổ phần Dịch vụ Kinh Bắc (**),Phải thu từ khách hàng > - Công ty Cổ phần Dịch vụ Kinh Bắc (**),- Công ty Cổ phần Dịch vụ Kinh Bắc (**),40.000.000.000,63.995.833.153,40000000000.0,63995833153.0
Phải thu từ các khách hàng khác,Phải thu từ khách hàng > Phải thu từ các khách hàng khác,Phải thu từ các khách hàng khác,38.017.291.535,105.249.591.531,38017291535.0,105249591531.0
,,,182.147.291.535,273.375.424.684,182147291535.0,273375424684.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Phải thu từ khách hàng,Phải thu từ khách hàng,Phải thu từ khách hàng,,,,
- Công ty Cổ phần Dịch vụ Kinh Bắc (**),Phải thu từ khách hàng > - Công ty Cổ phần Dịch vụ Kinh Bắc (**),- Công ty Cổ phần Dịch vụ Kinh Bắc (**),332.305.529.704,461.757.137.391,332305529704.0,461757137391.0
,,,332.305.529.704,461.757.137.391,332305529704.0,461757137391.0
