row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,1.333.318.452,1.333.318.452,1333318452.0,1333318452.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.020.000.000.000,838.455.555.552,1020000000000.0,838455555552.0
Vay các bên liên quan (Thuyết minh số 27),Vay ngắn hạn > Vay các bên liên quan (Thuyết minh số 27),Vay các bên liên quan (Thuyết minh số 27),247.901.106.339,113.830.830.000,247901106339.0,113830830000.0
,,,1.269.234.424.791,953.619.704.004,1269234424791.0,953619704004.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,
Vay các bên liên quan (Thuyết minh số 27),Vay dài hạn > Vay các bên liên quan (Thuyết minh số 27),Vay các bên liên quan (Thuyết minh số 27),169.249.163.882,-,169249163882.0,
Vay ngân hàng (Thuyết minh số 18.1),Vay dài hạn > Vay ngân hàng (Thuyết minh số 18.1),Vay ngân hàng (Thuyết minh số 18.1),27.984.180.300,91.902.222.232,27984180300.0,91902222232.0
Trái phiếu (Thuyết minh số 18.2),Vay dài hạn > Trái phiếu (Thuyết minh số 18.2),Trái phiếu (Thuyết minh số 18.2),1.369.293.602.000,2.194.952.580.171,1369293602000.0,2194952580171.0
,,,1.566.526.946.182,2.286.854.802.403,1566526946182.0,2286854802403.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay và nợ dài hạn đến hạn trả,Trong đó: > Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,1.020.000.000.000,838.455.555.552,1020000000000.0,838455555552.0
Vay và nợ dài hạn,Trong đó: > Vay và nợ dài hạn,Vay và nợ dài hạn,546.526.946.182,1.448.399.246.851,546526946182.0,1448399246851.0
