row_label_raw,row_label_full,col_0,Thuyết minh,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Thuyết minh,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,13.1,2.749.066.314.000,2.749.066.314.000,131.0,2749066314000.0,2749066314000.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,13.2,723.655.091.074,716.450.491.074,132.0,723655091074.0,716450491074.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,13.3,452.867.200.000,1.141.492.700.000,133.0,452867200000.0,1141492700000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(496.520.802.885),(479.327.162.483),,-496520802885.0,-479327162483.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,3.429.067.802.189,4.127.682.342.591,,3429067802189.0,4127682342591.0
