row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Số lượng cố phiếu,Số cuối năm > Giá gốc và Giá trị ghi số,Số đầu năm > Tỷ lệ sở hữu (%),Số đầu năm > Số lượng cố phiếu,Số đầu năm > Giá gốc và Giá trị ghi số,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Số lượng cố phiếu,numeric__Số cuối năm > Giá gốc và Giá trị ghi số,numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Số lượng cố phiếu,numeric__Số đầu năm > Giá gốc và Giá trị ghi số
Công ty Cổ phần Năng lượng Sài Gòn – Bình Đình (i),Công ty Cổ phần Năng lượng Sài Gòn – Bình Đình (i),Công ty Cổ phần Năng lượng Sài Gòn – Bình Đình (i),-,-,-,"4,83",48.300.000,483.000.000.000,,,,4.83,48300000.0,483000000000.0
Công ty Cổ phần Khoáng Sản Sài Gòn - Quy Nhơn,Công ty Cổ phần Khoáng Sản Sài Gòn - Quy Nhơn,Công ty Cổ phần Khoáng Sản Sài Gòn - Quy Nhơn,"5,75",6.900.000,339.000.000.000,"5,75",6.900.000,339.000.000.000,5.75,6900000.0,339000000000.0,5.75,6900000.0,339000000000.0
Công ty Cổ phần Thủy điện SGI – Lào (ii),Công ty Cổ phần Thủy điện SGI – Lào (ii),Công ty Cổ phần Thủy điện SGI – Lào (ii),-,-,-,10,19.000.000,190.000.000.000,,,,10.0,19000000.0,190000000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,"19,5",3.900.000,39.000.000.000,"19,5",3.900.000,39.000.000.000,19.5,3900000.0,39000000000.0,19.5,3900000.0,39000000000.0
Công ty Cổ phần Truyền Thông VTC - Saigontel,Công ty Cổ phần Truyền Thông VTC - Saigontel,Công ty Cổ phần Truyền Thông VTC - Saigontel,"19,19",3.070.020,30.700.200.000,"19,19",3.070.020,30.700.200.000,19.19,3070020.0,30700200000.0,19.19,3070020.0,30700200000.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Bình Phước,Công ty Cổ phần Khu công nghiệp Sài Gòn – Bình Phước,Công ty Cổ phần Khu công nghiệp Sài Gòn – Bình Phước,"10,56",190.000,19.000.000.000,"10,56",190.000,19.000.000.000,10.56,190000.0,19000000000.0,10.56,190000.0,19000000000.0
Công ty Cổ phần Đầu tư Xây dựng & Vật liệu Xây dựng Sài Gòn,Công ty Cổ phần Đầu tư Xây dựng & Vật liệu Xây dựng Sài Gòn,Công ty Cổ phần Đầu tư Xây dựng & Vật liệu Xây dựng Sài Gòn,-,-,-,19,950.000,11.352.500.000,,,,19.0,950000.0,11352500000.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhơn Hôi,Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhơn Hôi,Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhơn Hôi,10,100.000,10.000.000.000,10,100.000,10.000.000.000,10.0,100000.0,10000000000.0,10.0,100000.0,10000000000.0
Công ty Cổ phần Du lịch Sài Gòn - Hàm Tân (iii),Công ty Cổ phần Du lịch Sài Gòn - Hàm Tân (iii),Công ty Cổ phần Du lịch Sài Gòn - Hàm Tân (iii),"1,63",70.000,7.000.000.000,"6,48",70.000,7.000.000.000,1.63,70000.0,7000000000.0,6.48,70000.0,7000000000.0
Công ty Cổ phần Quản lý Quỹ Đầu tư Chứng khoản Bản Việt (iv),Công ty Cổ phần Quản lý Quỹ Đầu tư Chứng khoản Bản Việt (iv),Công ty Cổ phần Quản lý Quỹ Đầu tư Chứng khoản Bản Việt (iv),3,"43,67",4.367.000.000,3,"86,4",8.640.000.000,3.0,43.67,4367000000.0,3.0,86.4,8640000000.0
Công ty Cổ phần Đầu tư Phát triển Nhà máy Điện Sài Gòn - Bình Thuận,Công ty Cổ phần Đầu tư Phát triển Nhà máy Điện Sài Gòn - Bình Thuận,Công ty Cổ phần Đầu tư Phát triển Nhà máy Điện Sài Gòn - Bình Thuận,"0,35",350.000,3.500.000.000,"0,35",350.000,3.500.000.000,0.35,350000.0,3500000000.0,0.35,350000.0,3500000000.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Long An,Công ty Cổ phần Khu công nghiệp Sài Gòn – Long An,Công ty Cổ phần Khu công nghiệp Sài Gòn – Long An,"0,15",30.000,300.000.000,"0,15",30.000,300.000.000,0.15,30000.0,300000000.0,0.15,30000.0,300000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,452.867.200.000,,,1.141.492.700.000,,,452867200000.0,,,1141492700000.0
Dự phòng giám giá đầu tư dài hạn khác,Dự phòng giám giá đầu tư dài hạn khác,Dự phòng giám giá đầu tư dài hạn khác,,,(23.052.816.635),,,(69.694.854.852),,,-23052816635.0,,,-69694854852.0
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,,,429.814.383.365,,,1.071.798.045.148,,,429814383365.0,,,1071798045148.0
