row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,5.237.606.937,4.387.769.772,5237606937.0,4387769772.0
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,21.325.525.573,19.383.517.682,21325525573.0,19383517682.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,9.714.457.372,12.557.735.682,9714457372.0,12557735682.0
Khác,Khác,Khác,6.555.054.852,4.299.069.688,6555054852.0,4299069688.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,42.832.644.734,40.608.092.824,42832644734.0,40608092824.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
Chi phí làm logo của Công ty,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí làm logo của Công ty,Chi phí làm logo của Công ty,14.901.600.000,-,14901600000.0,
"Phí tư vấn pháp lý, môi giới bán hàng","Các khoản chi phí bán hàng phát sinh trong năm > Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",4.633.071.893,9.169.679.020,4633071893.0,9169679020.0
Chi phí nhân viên bán hàng,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,2.213.972.118,2.663.813.894,2213972118.0,2663813894.0
Khác,Các khoản chi phí bán hàng phát sinh trong năm > Khác,Khác,16.000.000,45.600.000,16000000.0,45600000.0
TỔNG CỘNG,Các khoản chi phí bán hàng phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,21.764.644.011,11.879.092.914,21764644011.0,11879092914.0
