row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả khác cho các bên liên quan(Thuyết minh số 27),Ngắn hạn > Phải trả khác cho các bên liên quan(Thuyết minh số 27),Phải trả khác cho các bên liên quan(Thuyết minh số 27),80.050.248.635,115.849.588.817,80050248635.0,115849588817.0
Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Ngắn hạn > Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,-,77.570.642.264,,77570642264.0
Công ty Cổ phần Đầu tư Sài Gòn,Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn,Công ty Cổ phần Đầu tư Sài Gòn,-,70.000.000.000,,70000000000.0
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,3.080.885.588,2.652.641.171,3080885588.0,2652641171.0
,,,83.131.134.223,266.072.872.252,83131134223.0,266072872252.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Hợp tác đầu tư khu đô thị Phúc Ninh (i),Dài hạn > Hợp tác đầu tư khu đô thị Phúc Ninh (i),Hợp tác đầu tư khu đô thị Phúc Ninh (i),55.500.000.000,55.500.000.000,55500000000.0,55500000000.0
Các khoản đặt cọc khác,Dài hạn > Các khoản đặt cọc khác,Các khoản đặt cọc khác,1.194.272.880,951.079.022,1194272880.0,951079022.0
,,,56.694.272.880,56.451.079.022,56694272880.0,56451079022.0
