row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Số có khả năngtrả nợ
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,,,,
Công ty Cổ phần Đầu tưTrường Phát,Phải trả cho người bán > Công ty Cổ phần Đầu tưTrường Phát,Công ty Cổ phần Đầu tưTrường Phát,9.559.539.000,9.559.539.000,6.231.295.300,6.231.295.300,9559539000.0,9559539000.0,6231295300.0,6231295300.0
Công ty TNHHBlueScope Buildings ViệtNam,Phải trả cho người bán > Công ty TNHHBlueScope Buildings ViệtNam,Công ty TNHHBlueScope Buildings ViệtNam,4.365.000.000,4.365.000.000,-,-,4365000000.0,4365000000.0,,
Công ty TNHH TrọngCường,Phải trả cho người bán > Công ty TNHH TrọngCường,Công ty TNHH TrọngCường,2.929.856.895,2.929.856.895,14.652.077.895,14.652.077.895,2929856895.0,2929856895.0,14652077895.0,14652077895.0
Công ty Cổ phần Xây dựng số 1 Hà Nội,Phải trả cho người bán > Công ty Cổ phần Xây dựng số 1 Hà Nội,Công ty Cổ phần Xây dựng số 1 Hà Nội,2.317.260.652,2.317.260.652,3.749.876.087,3.749.876.087,2317260652.0,2317260652.0,3749876087.0,3749876087.0
Phải trả đối tượng khác,Phải trả cho người bán > Phải trả đối tượng khác,Phải trả đối tượng khác,12.624.402.314,12.624.402.314,11.666.459.547,11.666.459.547,12624402314.0,12624402314.0,11666459547.0,11666459547.0
Phải trả cho các bên liên quan (Thuyết minh số 27),Phải trả cho người bán > Phải trả cho các bên liên quan (Thuyết minh số 27),Phải trả cho các bên liên quan (Thuyết minh số 27),-,-,17.160.000,17.160.000,,,17160000.0,17160000.0
TỔNG CỘNG,Phải trả cho người bán > TỔNG CỘNG,TỔNG CỘNG,31.796.058.861,31.796.058.861,36.316.868.829,36.316.868.829,31796058861.0,31796058861.0,36316868829.0,36316868829.0
