row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,199.825,916.366,91.740,581.342,1.789.273,199825.0,916366.0,91740.0,581342.0,1789273.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,725.575,-,-,725.575,,725575.0,,,725575.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,24.611,1.050.882,-,368.094,1.443.587,24611.0,1050882.0,,368094.0,1443587.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,48.836,-,-,43.859,92.695,48836.0,,,43859.0,92695.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,13.697,8.394.173,405.295,9.070,8.822.235,13697.0,8394173.0,405295.0,9070.0,8822235.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,-,648.763,-,-,648.763,,648763.0,,,648763.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,24,366.654,32,85.287,451.997,24.0,366654.0,32.0,85287.0,451997.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,286.993,12.102.413,497.067,1.087.652,13.974.125,286993.0,12102413.0,497067.0,1087652.0,13974125.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,1.841,2.201.314,-,36.529,2.239.684,1841.0,2201314.0,,36529.0,2239684.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,245.375,8.746.730,-,375.090,9.367.195,245375.0,8746730.0,,375090.0,9367195.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,-,1.096.282,-,335.925,1.432.207,,1096282.0,,335925.0,1432207.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,4,-,-,4,,4.0,,,4.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,3.706,206.631,-,3.512,213.849,3706.0,206631.0,,3512.0,213849.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,250.922,12.250.961,-,751.056,13.252.939,250922.0,12250961.0,,751056.0,13252939.0
Trạng thái tiền tệ nội bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,36.071,(148.548),497.067,336.596,721.186,36071.0,-148548.0,497067.0,336596.0,721186.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,(51.522),663.254,(69.767),(279.497),262.468,-51522.0,663254.0,-69767.0,-279497.0,262468.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",(15.451),514.706,427.300,57.099,983.654,-15451.0,514706.0,427300.0,57099.0,983654.0
