row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Phải trả nội bộ,Phải trả nội bộ,Phải trả nội bộ,515.381,41.795,515381.0,41795.0
Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,487.537,607,487537.0,607.0
Quỹ khen thưởng phúc lợi,Quỹ khen thưởng phúc lợi,Quỹ khen thưởng phúc lợi,-,22.743,,22743.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,27.844,18.445,27844.0,18445.0
Phải trả bên ngoài,Phải trả bên ngoài,Phải trả bên ngoài,1.629.835,1.094.318,1629835.0,1094318.0
Phải trả liên quan đến hoạt động thể,Phải trả liên quan đến hoạt động thể,Phải trả liên quan đến hoạt động thể,565.805,457.527,565805.0,457527.0
Phải trả liên quan dịch vụ trung gian và hỗ trợ thanh toán điện tử,Phải trả liên quan dịch vụ trung gian và hỗ trợ thanh toán điện tử,Phải trả liên quan dịch vụ trung gian và hỗ trợ thanh toán điện tử,353.686,283,353686.0,283.0
Khoản phải trả trong việc xử lý nợ,Khoản phải trả trong việc xử lý nợ,Khoản phải trả trong việc xử lý nợ,147.377,-,147377.0,
Các khoản phải trả khách hàng,Các khoản phải trả khách hàng,Các khoản phải trả khách hàng,136.011,124.222,136011.0,124222.0
Khoản đặt cọc mua tài sản nhận cán trừ nợ,Khoản đặt cọc mua tài sản nhận cán trừ nợ,Khoản đặt cọc mua tài sản nhận cán trừ nợ,83.751,129.921,83751.0,129921.0
Thuế và các khoản phải nộp Nhà nước(Thuyết minh số 23),Thuế và các khoản phải nộp Nhà nước(Thuyết minh số 23),Thuế và các khoản phải nộp Nhà nước(Thuyết minh số 23),68.650,59.654,68650.0,59654.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,54.502,37.037,54502.0,37037.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,19.442,24.100,19442.0,24100.0
Quỹ Phát triển Khoa học và Công nghệ,Quỹ Phát triển Khoa học và Công nghệ,Quỹ Phát triển Khoa học và Công nghệ,11.837,15.731,11837.0,15731.0
Phải trả cổ tức (Thuyết minh số 24.3),Phải trả cổ tức (Thuyết minh số 24.3),Phải trả cổ tức (Thuyết minh số 24.3),9.549,10.199,9549.0,10199.0
Khác,Khác,Khác,179.225,235.644,179225.0,235644.0
,,,2.145.216,1.136.113,2145216.0,1136113.0
