row_label_raw,row_label_full,Số dư đầu năm > Trích lập quỹ trong năm,Năm nayTriệu đồng > 22.743 > 104.896,Năm trướcTriệu đồng > 73.765 > -,numeric__Năm nayTriệu đồng > 22.743 > 104.896,numeric__Năm trướcTriệu đồng > 73.765 > -
Tăng khác,Tăng khác,Tăng khác,-,2,,2.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,(127.639),(51.024),-127639.0,-51024.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,22.743,,22743.0
