row_label_raw,row_label_full,col_0,Kinh doanhTriệu đồng,Giữ đến ngàyđáo hạnTriệu đồng,Cho vay vàphải thuTriệu đồng,Sẵn sàngđế bánTriệu đồng,Tài sản và nợ kháchạch toán theo giá trịphân bổTriệu đồng,Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Kinh doanhTriệu đồng,numeric__Giữ đến ngàyđáo hạnTriệu đồng,numeric__Cho vay vàphải thuTriệu đồng,numeric__Sẵn sàngđế bánTriệu đồng,numeric__Tài sản và nợ kháchạch toán theo giá trịphân bổTriệu đồng,numeric__Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,-,5.906.775,5.906.775,5.906.775,,,,,5906775.0,5906775.0,5906775.0
Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,-,-,1.965.587,1.965.587,1.965.587,,,,,1965587.0,1965587.0,1965587.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,1.246.644,-,6.924.232,8.170.876,(*),,,1246644.0,,6924232.0,8170876.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,63.250,-,-,-,-,63.250,(*),63250.0,,,,,63250.0,
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,20.251,-,-,-,-,20.251,(*),20251.0,,,,,20251.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,214.164.522,-,-,214.164.522,(*),,,214164522.0,,,214164522.0,
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,643.784,-,-,643.784,(*),,,643784.0,,,643784.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,29.885.640,-,29.885.640,(*),,,,29885640.0,,29885640.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,43.302.379,-,-,-,43.302.379,(*),,43302379.0,,,,43302379.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,155.728,-,155.728,(*),,,,155728.0,,155728.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,39.156.387,39.156.387,(*),,,,,39156387.0,39156387.0,
,,,83.501,43.302.379,216.054.950,30.041.368,53.952.981,343.435.179,,83501.0,43302379.0,216054950.0,30041368.0,53952981.0,343435179.0,
Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,-,231.484,231.484,,,,,,231484.0,231484.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,11.856.331,11.856.331,(*),,,,,11856331.0,11856331.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,316.905.245,316.905.245,(*),,,,,316905245.0,316905245.0,
"Vốn tài trợ, ủy thác đầu tưcho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tưcho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tưcho vay chịu rủi ro",-,-,-,-,1.415,1.415,(*),,,,,1415.0,1415.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,5.601.386,5.601.386,(*),,,,,5601386.0,5601386.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,5.892.428,5.892.428,(*),,,,,5892428.0,5892428.0,
,,,-,-,-,-,340.488.289,340.488.289,,,,,,340488289.0,340488289.0,
