row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2017,Tài sản tại ngày 31 tháng 12 năm 2017,Tài sản tại ngày 31 tháng 12 năm 2017,Tài sản tại ngày 31 tháng 12 năm 2017,Tài sản tại ngày 31 tháng 12 năm 2017,Tài sản tại ngày 31 tháng 12 năm 2017,,,
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản tại ngày 31 tháng 12 năm 2017 > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,6.856.778,1.314.650,8.171.428,6856778.0,1314650.0,8171428.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Tài sản tại ngày 31 tháng 12 năm 2017 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),6.423.674,429.401,6.853.075,6423674.0,429401.0,6853075.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2017 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,216.710.219,-,216.710.219,216710219.0,,216710219.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2017 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,648.763,-,648.763,648763.0,,648763.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2017 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,75.336.824,-,75.336.824,75336824.0,,75336824.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2017 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",1.644.727,1.602.294,3.247.021,1644727.0,1602294.0,3247021.0
Công nợ tại ngày 31 tháng 12 năm 2017,Công nợ tại ngày 31 tháng 12 năm 2017,Công nợ tại ngày 31 tháng 12 năm 2017,Công nợ tại ngày 31 tháng 12 năm 2017,Công nợ tại ngày 31 tháng 12 năm 2017,Công nợ tại ngày 31 tháng 12 năm 2017,,,
Các khoản nợ NHNN Việt Nam,Công nợ tại ngày 31 tháng 12 năm 2017 > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,231.484,-,231.484,231484.0,,231484.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2017 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,10.759.396,1.096.935,11.856.331,10759396.0,1096935.0,11856331.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2017 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,316.241.020,664.225,316.905.245,316241020.0,664225.0,316905245.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2017 > Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",-,1.415,1.415,,1415.0,1415.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2017 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,5.601.386,-,5.601.386,5601386.0,,5601386.0
Cam kết ngoại bảng tại ngày 31 tháng 12năm 2017,Công nợ tại ngày 31 tháng 12 năm 2017 > Cam kết ngoại bảng tại ngày 31 tháng 12năm 2017,Cam kết ngoại bảng tại ngày 31 tháng 12năm 2017,27.825.868,2.673.582,30.499.450,27825868.0,2673582.0,30499450.0
