row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Các giao dịch,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Các công ty con,Các công ty con,Các công ty con,Tiền gửi,321.369,1.246.768,,321369.0,1246768.0
Các công ty con,Các công ty con,Các công ty con,Cho vay,1.246.644,1.208.636,,1246644.0,1208636.0
Các công ty con,Các công ty con,Các công ty con,Nhận tiền gửi,(1.137.945),(1.533.130),,-1137945.0,-1533130.0
Các công ty con,Các công ty con,Các công ty con,Phải thu khác,160.396,220.932,,160396.0,220932.0
Các công ty con,Các công ty con,Các công ty con,Phải trả khác,(8.139),(6.418),,-8139.0,-6418.0
Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Cho vay,1.559,400.457,,1559.0,400457.0
Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Nhận tiền gửi,(91.414),(93.622),,-91414.0,-93622.0
Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Chứng chỉ tiền gửi,(3.556),-,,-3556.0,
Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Phải thu khác,-,238.086,,,238086.0
Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Các thành viên củaBan lãnh đạo Ngânhàng,Phải trả khác,(1.066),(546),,-1066.0,-546.0
Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Cho vay,21.497,18.052,,21497.0,18052.0
Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Nhận tiền gửi,(115.961),(116.909),,-115961.0,-116909.0
Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Chứng chỉ tiền gửi,(12.050),-,,-12050.0,
Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Phải thu khác,103,91,,103.0,91.0
Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Các bên liên quanđến các thành viêncủa Ban lãnh đạoNgân hàng,Phải trả khác,(1.584),(1.460),,-1584.0,-1460.0
Các bên liên quandến cổ đông lớn,Các bên liên quandến cổ đông lớn,Các bên liên quandến cổ đông lớn,Nhận tiền gửi,(13.155),(9.959),,-13155.0,-9959.0
