row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2017,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2017,Giá trị ghi số kế toán ròng (theo tỷ giá cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2017,Giá trị ghi số kế toán ròng (theo tỷ giá cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2017,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2017,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2017,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2017
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,914.534,-,8.333,914534.0,,8333.0
Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,5.938.541,28.584,-,5938541.0,28584.0,
,,,6.853.075,28.584,8.333,6853075.0,28584.0,8333.0
Số thuần,Số thuần,Số thuần,,20.251,,,20251.0,
Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,,,
Mua quyền chọn tiền tệ,Giao dịch quyền chọn > Mua quyền chọn tiền tệ,Mua quyền chọn tiền tệ,11.583,-,417,11583.0,,417.0
Bán quyền chọn tiền tệ,Giao dịch quyền chọn > Bán quyền chọn tiền tệ,Bán quyền chọn tiền tệ,49.009,573,-,49009.0,573.0,
,,,60.592,573,417,60592.0,573.0,417.0
Số thuần,Giao dịch quyền chọn > Số thuần,Số thuần,,156,,,156.0,
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,1.295.812,4.265,-,1295812.0,4265.0,
Giao dịch hoán đối tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016 > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,5.577.306,11.157,-,5577306.0,11157.0,
,,,6.873.118,15.422,-,6873118.0,15422.0,
Số thuần,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2016 > Số thuần,Số thuần,,15.422,,,15422.0,
