row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,44.128.152,38.380.936,44128152.0,38380936.0
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,41.512.385,35.126.353,41512385.0,35126353.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,2.080.338,2.558.034,2080338.0,2558034.0
Tiền gửi tiết kiệm không kỳ hạn bằng VND,Tiền gửi tiết kiệm không kỳ hạn bằng VND,Tiền gửi tiết kiệm không kỳ hạn bằng VND,141.622,153.101,141622.0,153101.0
Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,393.807,543.448,393807.0,543448.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,271.885.610,250.409.673,271885610.0,250409673.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,23.190.187,19.198.654,23190187.0,19198654.0
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,447.317,306.859,447317.0,306859.0
Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,242.185.613,225.972.376,242185613.0,225972376.0
Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,6.062.493,4.931.784,6062493.0,4931784.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,322.676,294.665,322676.0,294665.0
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,238.069,244.775,238069.0,244775.0
Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,84.607,49.890,84607.0,49890.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,345.296,180.643,345296.0,180643.0
Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,58.465,27.102,58465.0,27102.0
Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,286.831,153.541,286831.0,153541.0
Tiền gửi đảm bảo thanh toán khác,Tiền gửi đảm bảo thanh toán khác,Tiền gửi đảm bảo thanh toán khác,223.511,190.064,223511.0,190064.0
Tiền gửi đảm bảo thanh toán khác bằng VND,Tiền gửi đảm bảo thanh toán khác bằng VND,Tiền gửi đảm bảo thanh toán khác bằng VND,211.709,184.832,211709.0,184832.0
Tiền gửi đảm bảo thanh toán khác bằng ngoại tệ,Tiền gửi đảm bảo thanh toán khác bằng ngoại tệ,Tiền gửi đảm bảo thanh toán khác bằng ngoại tệ,11.802,5.232,11802.0,5232.0
,,,316.905.245,289.455.981,316905245.0,289455981.0
