row_label_raw,row_label_full,01,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,3.327.786.654.897,2.829.509.026.240,numeric__Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,numeric__3.327.786.654.897,numeric__2.829.509.026.240
02,02,02,Khấu hao tài sản cố định (“TSCĐ”),1.323.573.874.616,1.281.438.946.345,,1323573874616.0,1281438946345.0
03,03,03,Các khoản dự phòng,82.267.881.669,132.660.399.876,,82267881669.0,132660399876.0
04,04,04,Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,2.318.859.267,(11.989.425.798),,2318859267.0,-11989425798.0
05,05,05,Lãi từ hoạt động đầu tư,(894.645.210.454),(928.996.524.435),,-894645210454.0,-928996524435.0
06,06,06,Chi phí lãi vay,302.774.295.658,450.795.139.387,,302774295658.0,450795139387.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,4.144.076.355.653,3.753.417.561.615,,4144076355653.0,3753417561615.0
09,09,09,Giảm/(tăng) các khoản phải thu,333.069.704.551,(48.161.304.918),,333069704551.0,-48161304918.0
10,10,10,(Tăng)/giảm hàng tồn kho,(334.026.788.458),282.998.000.295,,-334026788458.0,282998000295.0
11,11,11,Tăng/(giảm) các khoản phải trả,1.124.278.812.213,(597.852.354.537),,1124278812213.0,-597852354537.0
12,12,12,(Tăng)/giảm chi phí trả trước,(126.730.874.026),150.909.892.186,,-126730874026.0,150909892186.0
14,14,14,Tiền lãi vay đã trả,(342.469.657.834),(436.707.766.496),,-342469657834.0,-436707766496.0
15,15,15,Thuế TNDN đã nộp,(391.537.956.493),(344.903.199.346),,-391537956493.0,-344903199346.0
16,16,16,Tiền thu khác từ hoạt động kinh doanh,-,113.000.000,,,113000000.0
17,17,17,Tiền chi khác từ hoạt động kinh doanh,(214.152.037.893),(96.207.250.778),,-214152037893.0,-96207250778.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,4.192.507.557.713,2.663.606.578.021,,4192507557713.0,2663606578021.0
