row_label_raw,row_label_full,Ngoại tệ,31.12.2024,31.12.2024_1,31.12.2023,31.12.2023_1,numeric__31.12.2024,numeric__31.12.2024_1,numeric__31.12.2023,numeric__31.12.2023_1
Ngoại tệ,Ngoại tệ,Ngoại tệ,Số dư vay ngoại tệ,Số dư ngoại tệ đã được phòng ngừa rủi ro,Số dư vay ngoại tệ,Số dư ngoại tệ đã được phòng ngừa rủi ro,,,,
Đô la Mỹ (“USD”),Ngoại tệ > Đô la Mỹ (“USD”),Đô la Mỹ (“USD”),25.000.000,25.000.000,57.900.000,57.900.000,25000000.0,25000000.0,57900000.0,57900000.0
