row_label_raw,row_label_full,Tổng giá trị các khoản phải thu quá hạn thanh toán khó có khả năng thu hồi Trong đó:- Công ty Cổ phần Sâm Ngọc Linh Kon Tum > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,31.12.2024 > Giá gốc VND > 207.009.487.821 > 52.920.000.000 > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,31.12.2024 > Giá trị có thể thu hồi VND > 1.385.483.225 > - > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,31.12.2024 > Dự phòng VND > 205.624.004.596 > 52.920.000.000 > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,31.12.2023 > Giá gốc VND > 569.988.695.818 > 62.920.000.000 > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,31.12.2023 > Giá trị có thể thu hồi VND > 1.236.197.688 > - > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,31.12.2023 > Dự phòng VND > 568.752.498.130 > 62.920.000.000 > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,numeric__31.12.2024 > Giá gốc VND > 207.009.487.821 > 52.920.000.000 > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,numeric__31.12.2024 > Giá trị có thể thu hồi VND > 1.385.483.225 > - > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,numeric__31.12.2024 > Dự phòng VND > 205.624.004.596 > 52.920.000.000 > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,numeric__31.12.2023 > Giá gốc VND > 569.988.695.818 > 62.920.000.000 > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,numeric__31.12.2023 > Giá trị có thể thu hồi VND > 1.236.197.688 > - > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.,numeric__31.12.2023 > Dự phòng VND > 568.752.498.130 > 62.920.000.000 > Công ty đã thực hiện xử lý xóa sổ nợ phải thu khó đòi đã quá hạn từ trên 2 năm với số tiền 445.067.851.799 Đồng theo Quyết định số 248/QĐ-FTEL ngày 6 tháng 1 năm 2025 được phê duyệt bởi Tổng Giám đốc của Công ty.
HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,HÀNG TỔN KHO,,,,,,
,,,31.12.2024,31.12.2024,31.12.2024,31.12.2023,31.12.2023,31.12.2023,31122024.0,31122024.0,31122024.0,31122023.0,31122023.0,31122023.0
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,,,,,
Hàng mua đang đi trên đường,HÀNG TỔN KHO > Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,55.282.428.819,-,57.128.979.044,-,,,55282428819.0,,57128979044.0,,,
Nguyên vật liệu,HÀNG TỔN KHO > Nguyên vật liệu,Nguyên vật liệu,963.418.755.749,(17.126.007.656),638.121.906.470,(16.797.484.252),,,963418755749.0,-17126007656.0,638121906470.0,-16797484252.0,,
"Công cụ, dụng cụ","HÀNG TỔN KHO > Công cụ, dụng cụ","Công cụ, dụng cụ",16.717.641.540,-,13.697.596.404,-,,,16717641540.0,,13697596404.0,,,
Hàng hóa,HÀNG TỔN KHO > Hàng hóa,Hàng hóa,44.397.030.221,-,36.840.585.953,-,,,44397030221.0,,36840585953.0,,,
,,,1.079.815.856.329,(17.126.007.656),745.789.067.871,(16.797.484.252),,,1079815856329.0,-17126007656.0,745789067871.0,-16797484252.0,,
Dự phòng giảm giá hàng tồn kho,HÀNG TỔN KHO > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(17.126.007.656),,(16.797.484.252),,,,-17126007656.0,,-16797484252.0,,,
,,,1.062.689.848.673,,728.991.583.619,,,,1062689848673.0,,728991583619.0,,,
