row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Quỹ đầu tưphát triểnVND,LNST chưaphân phốiVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Quỹ đầu tưphát triểnVND,numeric__LNST chưaphân phốiVND,numeric__Tổng cộngVND
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,3.283.395.380.000,1.424.495.512.206,2.568.317.215.099,7.276.208.107.305,3283395380000.0,1424495512206.0,2568317215099.0,7276208107305.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,2.366.176.848.577,2.366.176.848.577,,,2366176848577.0,2366176848577.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,(985.018.614.000),(985.018.614.000),,,-985018614000.0,-985018614000.0
Tăng vốn cổ phần bằng phát hành cổ phiếu,Tăng vốn cổ phần bằng phát hành cổ phiếu,Tăng vốn cổ phần bằng phát hành cổ phiếu,1.641.696.260.000,(70.000.000.000),(1.571.696.260.000),-,1641696260000.0,-70000000000.0,-1571696260000.0,
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,355.226.693.072,(355.226.693.072),-,,355226693072.0,-355226693072.0,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,(236.817.795.381),(236.817.795.381),,,-236817795381.0,-236817795381.0
Khác,Khác,Khác,-,-,(2.214.783.471),(2.214.783.471),,,-2214783471.0,-2214783471.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,4.925.091.640.000,1.709.722.205.278,1.783.519.917.752,8.418.333.763.030,4925091640000.0,1709722205278.0,1783519917752.0,8418333763030.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,2.756.745.893.100,2.756.745.893.100,,,2756745893100.0,2756745893100.0
Chia cổ tức bằng tiền (*) (Thuyết minh 33(a)),Chia cổ tức bằng tiền (*) (Thuyết minh 33(a)),Chia cổ tức bằng tiền (*) (Thuyết minh 33(a)),-,-,(985.018.328.000),(985.018.328.000),,,-985018328000.0,-985018328000.0
Trích Quỹ đầu tư phát triển (*),Trích Quỹ đầu tư phát triển (*),Trích Quỹ đầu tư phát triển (*),-,412.361.619.530,(412.361.619.530),-,,412361619530.0,-412361619530.0,
"Trích Quỹ khen thưởng, phúc lợi (*) (Thuyết minh 20)","Trích Quỹ khen thưởng, phúc lợi (*) (Thuyết minh 20)","Trích Quỹ khen thưởng, phúc lợi (*) (Thuyết minh 20)",-,-,(274.907.746.353),(274.907.746.353),,,-274907746353.0,-274907746353.0
Khác,Khác,Khác,-,-,642.852.094,642.852.094,,,642852094.0,642852094.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,4.925.091.640.000,2.122.083.824.808,2.868.620.969.063,9.915.796.433.871,4925091640000.0,2122083824808.0,2868620969063.0,9915796433871.0
