row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Thiết bịquản lýVND,numeric__Phương tiệnvận tảiVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,106.094.414.414,11.906.490.670.705,37.313.202.458,14.023.902.556,12.063.922.190.133,106094414414.0,11906490670705.0,37313202458.0,14023902556.0,12063922190133.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.132.455.882,233.391.878.030,834.547.010,2.664.538.499,238.023.419.421,1132455882.0,233391878030.0,834547010.0,2664538499.0,238023419421.0
Chuyển sang từ xây dựng cơ bản đòdang (*),Nguyên giá > Chuyển sang từ xây dựng cơ bản đòdang (*),Chuyển sang từ xây dựng cơ bản đòdang (*),33.257.232.379,616.932.113.547,-,-,650.189.345.926,33257232379.0,616932113547.0,,,650189345926.0
Phân loại lại (Thuyết minh 11(b)),Nguyên giá > Phân loại lại (Thuyết minh 11(b)),Phân loại lại (Thuyết minh 11(b)),-,1.654.096.764,(2.732.555.606),774.845.455,(303.613.387),,1654096764.0,-2732555606.0,774845455.0,-303613387.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(202.989.862.056),(2.885.003.569),-,(205.874.865.625),,-202989862056.0,-2885003569.0,,-205874865625.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,140.484.102.675,12.555.478.896.990,32.530.190.293,17.463.286.510,12.745.956.476.468,140484102675.0,12555478896990.0,32530190293.0,17463286510.0,12745956476468.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(32.750.832.063),(6.668.518.416.725),(33.578.535.366),(7.921.951.651),(6.742.769.735.805),-32750832063.0,-6668518416725.0,-33578535366.0,-7921951651.0,-6742769735805.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(5.443.392.698),(1.233.313.012.707),(295.041.871),(1.874.664.453),(1.240.926.111.729),-5443392698.0,-1233313012707.0,-295041871.0,-1874664453.0,-1240926111729.0
Phân loại lại (Thuyết minh 11(b)),Giá trị khấu hao lũy kế > Phân loại lại (Thuyết minh 11(b)),Phân loại lại (Thuyết minh 11(b)),-,(1.335.851.462),2.413.182.393,(774.845.455),302.485.476,,-1335851462.0,2413182393.0,-774845455.0,302485476.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,183.280.691.327,2.598.087.289,-,185.878.778.616,,183280691327.0,2598087289.0,,185878778616.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(38.194.224.761),(7.719.886.589.567),(28.862.307.555),(10.571.461.559),(7.797.514.583.442),-38194224761.0,-7719886589567.0,-28862307555.0,-10571461559.0,-7797514583442.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,73.343.582.351,5.237.972.253.980,3.734.667.092,6.101.950.905,5.321.152.454.328,73343582351.0,5237972253980.0,3734667092.0,6101950905.0,5321152454328.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,102.289.877.914,4.835.592.307.423,3.667.882.738,6.891.824.951,4.948.441.893.026,102289877914.0,4835592307423.0,3667882738.0,6891824951.0,4948441893026.0
