row_label_raw,row_label_full,Hội đồng Quản trị,Hội đồng Quản trị_1,Hội đồng Quản trị_2,Hội đồng Quản trị_3,numeric__Hội đồng Quản trị_1,numeric__Hội đồng Quản trị_2,numeric__Hội đồng Quản trị_3
Hoàng Việt Anh,Hoàng Việt Anh,Hoàng Việt Anh,Chủ tịch,-,-,,,
Trương Gia Bình,Trương Gia Bình,Trương Gia Bình,Thành viên,-,-,,,
Nguyễn Văn Khoa,Nguyễn Văn Khoa,Nguyễn Văn Khoa,Thành viên,-,-,,,
Chu Thị Thanh Hà,Chu Thị Thanh Hà,Chu Thị Thanh Hà,Thành viên,-,-,,,
Trần Thị Hồng Lĩnh,Chu Thị Thanh Hà > Trần Thị Hồng Lĩnh,Trần Thị Hồng Lĩnh,Thành viên (*),60.000.000,41.260.274,,60000000.0,41260274.0
Phan Thế Thành,Chu Thị Thanh Hà > Phan Thế Thành,Phan Thế Thành,Thành viên (*),60.000.000,41.260.274,,60000000.0,41260274.0
Lê Ngọc Diệp,Chu Thị Thanh Hà > Lê Ngọc Diệp,Lê Ngọc Diệp,Thành viên (*),-,18.739.726,,,18739726.0
Nguyễn Hoàng Quyền,Chu Thị Thanh Hà > Nguyễn Hoàng Quyền,Nguyễn Hoàng Quyền,Thành viên (*),-,18.739.726,,,18739726.0
,,,,120.000.000,120.000.000,,120000000.0,120000000.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,,
Trần Khương,Trần Khương,Trần Khương,Trường ban,-,-,,,
Phạm Xuân Hoàn,Phạm Xuân Hoàn,Phạm Xuân Hoàn,Thành viên,-,-,,,
Đỗ Xuân Phúc,Phạm Xuân Hoàn > Đỗ Xuân Phúc,Đỗ Xuân Phúc,Thành viên,24.000.000,24.000.000,,24000000.0,24000000.0
,,,,24.000.000,24.000.000,,24000000.0,24000000.0
Ban Tổng Giám đốc và người quản lý khác,Ban Tổng Giám đốc và người quản lý khác,Ban Tổng Giám đốc và người quản lý khác,Ban Tổng Giám đốc và người quản lý khác,Ban Tổng Giám đốc và người quản lý khác,Ban Tổng Giám đốc và người quản lý khác,,,
Nguyễn Hoàng Linh,Ban Tổng Giám đốc và người quản lý khác > Nguyễn Hoàng Linh,Nguyễn Hoàng Linh,Tổng Giám đốc (**),2.760.200.000,2.440.428.000,,2760200000.0,2440428000.0
Hoàng Việt Anh,Ban Tổng Giám đốc và người quản lý khác > Hoàng Việt Anh,Hoàng Việt Anh,Tổng Giám đốc (**),-,800.000.000,,,800000000.0
Vũ Thị Mai Hương,Ban Tổng Giám đốc và người quản lý khác > Vũ Thị Mai Hương,Vũ Thị Mai Hương,Phó Tổng Giám đốc,1.920.700.000,1.880.372.000,,1920700000.0,1880372000.0
Chu Hùng Thắng,Ban Tổng Giám đốc và người quản lý khác > Chu Hùng Thắng,Chu Hùng Thắng,Phó Tổng Giám đốc,1.920.009.000,1.885.670.720,,1920009000.0,1885670720.0
Đỗ Thị Hương,Ban Tổng Giám đốc và người quản lý khác > Đỗ Thị Hương,Đỗ Thị Hương,Giám đốc Tài chính,1.920.200.000,1.760.151.000,,1920200000.0,1760151000.0
Nguyễn Thị Thu Hương,Ban Tổng Giám đốc và người quản lý khác > Nguyễn Thị Thu Hương,Nguyễn Thị Thu Hương,Kế toán trưởng,941.200.000,708.397.000,,941200000.0,708397000.0
,,,,9.462.309.000,9.475.018.720,,9462309000.0,9475018720.0
