row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2024VND,Số phải thu trong năm VND,Số đã thực thu/cán trừ trong năm VND,Tại ngày31.12.2024VND,numeric__col_1,numeric__Tại ngày1.1.2024VND,numeric__Số phải thu trong năm VND,numeric__Số đã thực thu/cán trừ trong năm VND,numeric__Tại ngày31.12.2024VND
(a),(a),(a),Phải thuThuế thu nhập cá nhân,91.130.172,337.500.531,(428.630.703),-,,91130172.0,337500531.0,-428630703.0,
(a),(a),(a),Phải thuThuế thu nhập cá nhân,Tại ngày1.1.2024VND,Số phải nộp trong năm VND,Số đã thực nộp/cán trừ trong năm VND,Tại ngày31.12.2024VND,,,,,
(b),(a) > (b),(b),Phải nộpThuế TNDN,113.491.143.593,571.442.547.756,(391.537.956.493),293.395.734.856,,113491143593.0,571442547756.0,-391537956493.0,293395734856.0
(b),(a) > (b),(b),Thuế GTGT đầu ra,44.601.480.481,1.897.665.529.094,(1.889.766.453.406),52.500.556.169,,44601480481.0,1897665529094.0,-1889766453406.0,52500556169.0
(b),(a) > (b),(b),Thuế thu nhập cá nhân,20.801.723.472,317.201.394.197,(331.777.333.473),6.225.784.196,,20801723472.0,317201394197.0,-331777333473.0,6225784196.0
(b),(a) > (b),(b),Thuế nhà thầu nước ngoài,2.979.956.412,53.392.335.483,(36.921.764.587),19.450.527.308,,2979956412.0,53392335483.0,-36921764587.0,19450527308.0
(b),(a) > (b),(b),Thuế GTGT hàng nhập khẩu,-,179.340.307.032,(179.340.307.032),-,,,179340307032.0,-179340307032.0,
(b),(a) > (b),(b),"Thuế xuất, nhập khẩu",-,106.528.201,(106.528.201),-,,,106528201.0,-106528201.0,
(b),(a) > (b),(b),Thuế khác,-,589.060.753,(589.060.753),-,,,589060753.0,-589060753.0,
,,,,181.874.303.958,3.019.737.702.516,(2.830.039.403.945),371.572.602.529,,181874303958.0,3019737702516.0,-2830039403945.0,371572602529.0
