row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Giấy phép bàn quyền và quyền khai thác VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Giấy phép bàn quyền và quyền khai thác VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1.1.2024,Nguyên giá > Tại ngày 1.1.2024,Tại ngày 1.1.2024,185.208.921.448,756.362.619.237,178.064.443.851,1.119.635.984.536,185208921448.0,756362619237.0,178064443851.0,1119635984536.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,8.432.450.003,125.152.833.247,727.672.500,134.312.955.750,8432450003.0,125152833247.0,727672500.0,134312955750.0
Phân loại lại(Thuyết minh 11(a)),Nguyên giá > Phân loại lại(Thuyết minh 11(a)),Phân loại lại(Thuyết minh 11(a)),-,-,303.613.387,303.613.387,,,303613387.0,303613387.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(2.820.346.246),(10.372.111.720),(13.192.457.966),,-2820346246.0,-10372111720.0,-13192457966.0
Tại ngày 31.12.2024,Nguyên giá > Tại ngày 31.12.2024,Tại ngày 31.12.2024,193.641.371.451,878.695.106.238,168.723.618.018,1.241.060.095.707,193641371451.0,878695106238.0,168723618018.0,1241060095707.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1.1.2024,Giá trị khấu hao lũy kế > Tại ngày 1.1.2024,Tại ngày 1.1.2024,-,(430.246.275.819),(134.968.506.155),(565.214.781.974),,-430246275819.0,-134968506155.0,-565214781974.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(53.577.229.438),(29.070.533.449),(82.647.762.887),,-53577229438.0,-29070533449.0,-82647762887.0
Phân loại lại(Thuyết minh 11(a)),Giá trị khấu hao lũy kế > Phân loại lại(Thuyết minh 11(a)),Phân loại lại(Thuyết minh 11(a)),-,-,(302.485.476),(302.485.476),,,-302485476.0,-302485476.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,2.820.346.246,10.281.968.247,13.102.314.493,,2820346246.0,10281968247.0,13102314493.0
Tại ngày 31.12.2024,Giá trị khấu hao lũy kế > Tại ngày 31.12.2024,Tại ngày 31.12.2024,-,(481.003.159.011),(154.059.556.833),(635.062.715.844),,-481003159011.0,-154059556833.0,-635062715844.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1.1.2024,Giá trị còn lại > Tại ngày 1.1.2024,Tại ngày 1.1.2024,185.208.921.448,326.116.343.418,43.095.937.696,554.421.202.562,185208921448.0,326116343418.0,43095937696.0,554421202562.0
Tại ngày 31.12.2024,Giá trị còn lại > Tại ngày 31.12.2024,Tại ngày 31.12.2024,193.641.371.451,397.691.947.227,14.664.061.185,605.997.379.863,193641371451.0,397691947227.0,14664061185.0,605997379863.0
