row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,,2.780.410.105,2.382.408.528,,2780410105.0,2382408528.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phí dịch vụ chi hộ,2.780.410.105,2.055.640.852,,2780410105.0,2055640852.0
Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Phí dịch vụ chi hộ,-,324.074.074,,,324074074.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phí dịch vụ chi hộ,-,1.346.801,,,1346801.0
Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Phí dịch vụ chi hộ,-,1.346.801,,,1346801.0
Doanh thu hoạt động tài chính (Thuyết minh số 26),Doanh thu hoạt động tài chính (Thuyết minh số 26),Doanh thu hoạt động tài chính (Thuyết minh số 26),,22.191.780.822,45.000.000.000,,22191780822.0,45000000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Lãi từ đặt cọc chuyển nhượng cổ phần,22.191.780.822,45.000.000.000,,22191780822.0,45000000000.0
Thu hồi cho vay,Thu hồi cho vay,Thu hồi cho vay,,5.000.000.000,-,,5000000000.0,
Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Thu hồi cho vay,5.000.000.000,-,,5000000000.0,
Góp vốn,Góp vốn,Góp vốn,,-,600.000.000.000,,,600000000000.0
Công ty Cổ phần Quản lý Vận hành Khách sạn và Khu nghỉ dưỡng Matterhorn,Công ty Cổ phần Quản lý Vận hành Khách sạn và Khu nghỉ dưỡng Matterhorn,Công ty Cổ phần Quản lý Vận hành Khách sạn và Khu nghỉ dưỡng Matterhorn,Góp vốn vào công ty con,-,600.000.000.000,,,600000000000.0
Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,,450.000.000.000,-,,450000000000.0,
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Nhận chuyển nhượng cổ phần,450.000.000.000,-,,450000000000.0,
