row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị/Số có khả năng trả nợ,Số đầu năm > Giá trị/Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị/Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị/Số có khả năng trả nợ
,,,VND,VND,,
Công ty TNHH Tập đoàn thang máy Thiết bị Thắng Long,Công ty TNHH Tập đoàn thang máy Thiết bị Thắng Long,Công ty TNHH Tập đoàn thang máy Thiết bị Thắng Long,9.250.900.000,9.250.900.000,9250900000.0,9250900000.0
Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,8.386.495.689,20.368.400.486,8386495689.0,20368400486.0
Công ty TNHH Noble (Việt Nam),Công ty TNHH Noble (Việt Nam),Công ty TNHH Noble (Việt Nam),6.672.096.000,-,6672096000.0,
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,178.825.580,10.004.832.622,178825580.0,10004832622.0
Công ty Cổ phần Phú Thành,Công ty Cổ phần Phú Thành,Công ty Cổ phần Phú Thành,-,6.121.901.084,,6121901084.0
Khác,Khác,Khác,5.096.311.973,7.452.080.699,5096311973.0,7452080699.0
,,,29.584.629.242,53.198.114.891,29584629242.0,53198114891.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả người bán ngắn hạn là các bên liên quan chủ yếu (Chỉ tiết tại Thuyết minh số 32),Trong đó: > Phải trả người bán ngắn hạn là các bên liên quan chủ yếu (Chỉ tiết tại Thuyết minh số 32),Phải trả người bán ngắn hạn là các bên liên quan chủ yếu (Chỉ tiết tại Thuyết minh số 32),336.620.685,221.246.443,336620685.0,221246443.0
